Country Name,Country Code,Gini index_2018,Gini index_2019,Gini index_2020,Gini index_2021,Gini index_2022,Risk of impoverishing expenditure for surgical care (% of people at risk)_2018,Risk of impoverishing expenditure for surgical care (% of people at risk)_2019,Risk of impoverishing expenditure for surgical care (% of people at risk)_2020,Risk of impoverishing expenditure for surgical care (% of people at risk)_2021,Risk of impoverishing expenditure for surgical care (% of people at risk)_2022,"Inflation, consumer prices (annual %)_2018","Inflation, consumer prices (annual %)_2019","Inflation, consumer prices (annual %)_2020","Inflation, consumer prices (annual %)_2021","Inflation, consumer prices (annual %)_2022",Lending interest rate (%)_2018,Lending interest rate (%)_2019,Lending interest rate (%)_2020,Lending interest rate (%)_2021,Lending interest rate (%)_2022,Multidimensional poverty headcount ratio (World Bank) (% of population)_2018,Multidimensional poverty headcount ratio (World Bank) (% of population)_2019,Multidimensional poverty headcount ratio (World Bank) (% of population)_2020,Multidimensional poverty headcount ratio (World Bank) (% of population)_2021,Multidimensional poverty headcount ratio (World Bank) (% of population)_2022
Iraq,IRQ,34.0,33.65,32.5,32.8,34.275,20.7,15.35,16.65,16.1,14.9,0.367441489,-0.19896538,0.574162679,6.041864891,4.994765964,7.7130426,7.6329234488,7.049709413,6.5938000276,6.2952705816,0.75,0.6000000000000001,0.65,8.450000000000001,0.4875
Ireland,IRL,30.6,30.8,29.2,30.1,33.75,0.0,0.0,0.0,0.0,0.0,0.471130714,0.937842961,-0.326183651,2.340341134,7.829457364,6.301230565000001,6.266468508199999,5.802480786,5.429450041399999,5.182905872399999,0.7,0.4,0.4,16.1,0.475
Isle of Man,IMN,34.6,34.55,33.5,34.0,33.224999999999994,0.4,0.8,0.75,0.65,0.6,0.632603187,0.8938130445,-0.4702980045,1.9252708055,6.1115270115,4.88941853,4.900013567599999,4.555252159,4.2651000552,4.0705411632,0.9,0.5,0.45,8.200000000000001,0.4625
Israel,ISR,38.6,38.3,37.8,37.9,32.7,0.8,1.6,1.5,1.3,1.2,0.79407566,0.849783128,-0.614412358,1.510200477,4.393596659,3.477606495,3.533558627,3.308023532,3.100750069,2.958176454,1.1,0.6,0.5,0.3,0.45
Italy,ITA,35.2,34.6,35.2,34.8,32.175,0.2,0.2,0.2,0.2,0.2,1.137487636,0.611246944,-0.137707574,1.873783258,8.201289912,2.68,2.6025,2.328333333,2.025916667,2.264455,2.9,2.5,2.4,2.4,0.4375
Jamaica,JAM,35.6,32.95,33.575,40.2,31.65,7.0,6.8,6.7,6.5,6.1,3.736638822,3.905100009,5.226777793,5.862782428,10.34956884,14.09407373,12.99845527,12.06137876,11.49333333,11.405,0.3,3.0166666666666666,2.1125,0.7,0.425
Japan,JPN,33.0,31.3,31.950000000000003,36.53333333333333,31.125,0.1,0.1,0.1,0.1,0.1,0.989094598,0.468776159,-0.024995834,-0.233352779,2.497702782,11.3778701985,10.831727635,9.7711060465,9.2545833315,9.3866666665,0.2,3.533333333333333,1.825,10.15,0.4125
Jordan,JOR,30.4,29.65,30.325,32.86666666666667,30.6,0.45,0.4,0.4,0.3,0.4,4.462311085,0.761514047,0.333294351,1.346093772,4.229155689,8.661666667,8.665,7.480833333,7.015833333,7.368333333,0.1,4.05,1.5375,19.6,0.4
Kazakhstan,KAZ,27.8,28.0,28.7,29.2,30.075,0.8,0.7,0.7,0.5,0.7,6.163662476,5.333560989,6.718154549,8.04147134,15.02786444,10.8612127535,10.553066445,9.7383089765,9.5479158415,9.8520871165,0.0,4.566666666666666,1.25,29.05,0.3875
Kenya,KEN,29.275,27.9,36.2,38.7,29.55,64.5,63.3,63.2,16.45,17.349999999999998,4.689806468,5.239637958,5.405162079,6.107936037,7.659862683,13.06075884,12.44113289,11.99578462,12.07999835,12.3358409,0.025,5.083333333333333,0.9625,38.5,0.375
Kiribati,KIR,30.75,27.8,35.03333333333334,36.766666666666666,29.025,27.4,23.1,23.7,32.4,34.0,0.564030491,-1.813079953,2.553245544,2.053616768,6.803079672333333,9.928005893333331,9.442699704333334,8.931078635666667,9.014721122333334,9.654727266666669,0.05,5.6,0.675,25.700000000000003,0.3625
"Korea, Dem. People's Rep.",PRK,32.225,30.5,33.86666666666667,34.833333333333336,28.5,13.75,11.6,11.9,16.25,17.05,1.0199349205,-0.7150398245,1.5452667835,2.2759750505,5.946296661666667,6.7952529466666665,6.444266518666667,5.866372651333334,5.949443894666668,6.973613633333334,0.075,2.85,0.3875000000000002,12.900000000000002,0.35
"Korea, Rep.",KOR,33.7,33.2,32.7,32.9,27.975,0.1,0.1,0.1,0.1,0.1,1.47583935,0.383000304,0.537288023,2.498333333,5.089513651,3.6625,3.445833333,2.801666667,2.884166667,4.2925,0.1,0.1,0.1,0.1,0.3375
Kosovo,XKX,31.700000000000003,32.03333333333333,31.46666666666667,31.53333333333333,27.45,13.875,13.35,10.475,8.35,6.574999999999999,1.053797737,2.675992026,0.198227923,3.353691392,11.58051045,6.654058333,4.1284666665,3.4707875,3.2950666670000004,4.1026375,0.3,0.3333333333333333,0.5,0.3,0.3249999999999999
Kuwait,KWT,29.7,30.866666666666667,30.23333333333333,30.166666666666668,26.925,27.65,26.6,20.85,16.6,13.05,0.543133148,1.091848027,2.101729548,3.423629476,3.98064962,4.827,4.8111,4.139908333,3.705966667,3.912775,0.5,0.5666666666666668,0.8999999999999999,0.5,0.3125
Kyrgyz Republic,KGZ,27.7,29.7,29.0,28.8,26.4,41.425,39.85,31.225,24.85,19.525,1.542661452,1.133622577,6.325422963,11.90503982,13.92290932,19.51318201,18.99675367,17.03576593,16.6226605,18.66496462,0.7,0.8,1.3,0.7,0.3
Lao PDR,LAO,38.8,32.1,32.35,31.55,27.255,55.2,53.1,41.6,33.1,26.0,2.040392669,3.322558813,5.10407263,3.755620367,22.95622251,16.040454673333336,16.16894689,15.0207133365,14.519182874999998,16.244817214999998,10.9,0.7,1.05,0.6,0.37
Latvia,LVA,35.1,34.5,35.7,34.3,28.11,8.9,7.4,7.9,6.8,11.8,2.534454242,2.811409201,0.219064905,3.275829374,17.31028302,12.567727336666668,13.34114011,13.005660743,12.415705249999998,13.82466981,0.9,0.6,0.8,0.5,0.4399999999999999
Lebanon,LBN,35.2,34.63333333333333,35.75,34.7,28.965,29.75,29.9,31.450000000000003,27.65,34.099999999999994,6.076989079,3.005389494,84.86433305,154.756096,171.2054913,9.095,10.51333333,10.9906081495,10.312227625,11.404522405,0.9833333333333334,0.6666666666666666,0.7333333333333334,0.4833333333333333,0.51
Lesotho,LSO,35.300000000000004,34.766666666666666,35.800000000000004,35.1,29.82,50.6,52.4,55.0,48.5,56.4,4.751803016,5.187083592,4.978096763,6.04774592,8.271803899,11.35416667,11.33358333,8.975555556,8.20875,8.984375,1.0666666666666669,0.7333333333333333,0.6666666666666667,0.4666666666666667,0.58
Liberia,LBR,35.400000000000006,34.9,35.85,35.5,30.675,38.55,39.85,41.85,36.9,43.0,23.5635149,1.5124523785,3.2125666665,4.458038099,6.3910526955,10.343716660166669,10.3374273425,8.356479188833333,7.717353856333333,8.377495541833333,1.15,0.8,0.6000000000000001,0.45,0.6499999999999999
Libya,LBY,35.5,35.03333333333333,35.9,35.9,31.53,26.5,27.3,28.7,25.3,29.6,13.17020385,-2.162178835,1.44703657,2.868330278,4.510301492,9.333266650333332,9.341271355,7.737402821666667,7.225957712666667,7.770616083666667,1.2333333333333334,0.8666666666666667,0.5333333333333334,0.4333333333333333,0.72
Liechtenstein,LIE,35.6,35.166666666666664,35.95,36.3,32.385,14.449999999999996,14.75,15.549999999999995,13.700000000000005,16.199999999999996,7.934065821,0.0861652725000001,1.32346551,3.7759372435,12.107673821,8.3228166405,8.3451153675,7.1183264545,6.734561569,7.1637366255,1.3166666666666669,0.9333333333333332,0.4666666666666667,0.4166666666666667,0.7899999999999999
Lithuania,LTU,35.7,35.3,36.0,36.7,33.24,2.4,2.2,2.4,2.1,2.8,2.697927792,2.33450938,1.19989445,4.683544209,19.70504615,7.312366630666666,7.34895938,6.499250087333333,6.243165425333333,6.556857167333334,1.4,1.0,0.4,0.4,0.8599999999999999
Luxembourg,LUX,35.4,34.2,33.4,32.7,34.095,0.1,0.0,0.0,0.0,0.0,1.528195243,1.743320757,0.819957302,2.526920091,6.336008078,6.3019166208333335,6.3528033925,5.880173720166667,5.751769281666666,5.949977709166667,0.9,0.9,0.3875,2.7,0.93
"Macao SAR, China",MAC,36.85,35.63333333333333,33.114285714285714,34.7,34.95,1.875,0.8875,13.733333333333334,13.8,13.75,3.004462932,2.751930811,0.811410511,0.026454365,1.045028024,5.291466611,5.356647405,5.261097353,5.260373138,5.343098251,0.7,26.7,0.375,10.8,1.0
Madagascar,MDG,38.3,37.06666666666667,32.82857142857143,36.7,35.805,3.65,1.775,27.46666666666667,27.6,27.5,8.594229589,5.610514415,4.201793122,5.812251188,8.16059032,55.38958333,49.0,48.86666667,48.28333333,48.83333333,0.5,52.49999999999999,0.3625,18.9,1.0699999999999998
Malawi,MWI,39.75,38.5,32.542857142857144,38.7,36.66,5.425,2.6625,41.2,41.4,41.25,12.42017811,9.370836056,8.625514697,9.330144108,20.95396973,32.29,25.67430556,24.2162963,23.88125,25.35166667,0.2999999999999999,78.3,0.35,27.0,1.14
Malaysia,MYS,41.2,33.9,32.25714285714285,40.7,37.515,7.2,3.55,54.93333333333334,55.2,55.0,0.884709161,0.662891866,-1.138702154,2.477102415,3.378698625,4.928440385,4.876892949,3.944207692,3.444106404,3.908026667,0.1,39.15,0.3375,35.1,1.21
Maldives,MDV,38.6,29.3,31.97142857142857,38.2,38.37,44.8,4.4375,68.66666666666667,69.0,68.75,-0.133373386,0.220029731,-1.369774256,0.543149689,2.333143376,10.67672289,11.52263579,11.60023032,11.56546101,10.92870651,21.95,0.0,0.325,43.2,1.2799999999999998
Mali,MLI,36.0,30.15,31.685714285714283,35.7,39.225,82.4,5.324999999999999,82.4,82.8,82.5,0.299546507,-1.658266948,0.43808894,3.925602831,9.621476085,10.241378312,10.908108632,10.725184256,10.6265354746,10.2437985414,43.8,0.2,0.3125,51.3,1.35
Malta,MLT,28.7,31.0,31.4,34.27142857142857,40.08,72.96666666666667,6.2125,44.8,45.05,44.55,1.157823625,1.642060018,0.638544957,1.497892179,6.153756219,9.806033734,10.293581474,9.850138192,9.6876099392,9.5588905728,0.3,0.4,0.3,44.0,1.42
Marshall Islands,MHL,33.025,35.5,34.7,32.84285714285714,40.935,63.53333333333333,7.1,7.2,7.3,6.6,2.112591793,1.9710763195,1.512119921,2.531528513,7.8395112525,9.370689156,9.679054316,8.975092128,8.7486844038,8.8739826042,0.8500000000000001,1.0,0.875,36.7,1.49
Mauritania,MRT,37.35,32.0,38.0,31.414285714285715,41.79,54.1,54.0,55.0,56.9,56.8,3.067359961,2.300092621,2.385694885,3.565164847,9.525266286,8.935344578,9.064527158,8.100046064,7.8097588684,8.1890746356,1.4,42.4,1.4500000000000002,29.4,1.5599999999999998
Mauritius,MUS,41.675,30.5,41.3,29.985714285714288,42.645,3.6,3.4,4.5,4.2,4.0,3.216053831,0.40565519,2.580800772,4.028528882,10.77375122,8.5,8.45,7.225,6.870833333,7.504166667,1.95,32.0,2.025,22.1,1.63
Mexico,MEX,46.0,29.0,44.6,28.557142857142857,43.5,8.5,8.5,8.4,7.7,7.2,4.899350154,3.635961421,3.396834156,5.689208477,7.896276192,8.04,8.429166667,6.341666667,5.265833333,8.179166667,2.5,21.6,2.6,14.800000000000004,1.7
"Micronesia, Fed. Sts.",FSM,35.85,27.5,42.76,27.128571428571423,40.475,7.25,6.8,7.1,5.5,5.5,1.498400236,1.923851708,0.554594631,3.191284066,5.408743755,15.7,14.7,14.47,12.62,9.9879166685,1.35,11.199999999999996,2.5500000000000003,7.5,1.55
Moldova,MDA,25.7,26.0,40.92,25.7,37.45,6.0,5.1,5.8,3.3,3.8,3.045053973,4.837783514,3.765971222,5.10641129,28.73729768,8.8475,8.25,8.18,7.396666667,11.79666667,0.2,0.8,2.5,0.2,1.4
Monaco,MCO,29.200000000000003,29.23333333333333,39.08,28.566666666666663,34.425,16.85,15.499999999999998,15.349999999999998,16.3,15.2,4.934650937,6.069426525,3.7810057415,6.229611862,21.942626885,13.280884945,12.623311675,12.55531335,11.7017145735,9.743888891,0.8,0.9,2.45,0.34,1.25
Mongolia,MNG,32.7,32.46666666666667,37.24,31.43333333333333,31.4,27.7,25.9,24.9,29.3,26.6,6.824247901,7.301069536,3.796040261,7.352812434,15.14795609,17.71426989,16.99662335,16.9306267,16.00676248,7.691111112000001,1.4,1.0,2.4,0.48,1.1
Montenegro,MNE,36.8,35.7,35.4,34.3,31.2,3.4,3.2,26.35,27.6,2.7,2.611223783,0.361563705,-0.2556557,2.410801984,13.04030363,6.529166667,6.175,5.906666667,5.760833333,5.638333333,1.4249999999999998,1.1,2.35,0.6200000000000001,1.2571428571428571
Morocco,MAR,35.55714285714286,43.0,34.05714285714286,33.07142857142857,31.0,24.7,24.3,27.8,25.9,25.1,1.803916711,0.303386037,0.705968661,1.40195884,6.657042028,14.7562499985,12.566666665,11.4908333335,11.9637500015,12.8858333315,1.45,1.2000000000000002,2.3,0.76,1.4142857142857144
Mozambique,MOZ,34.31428571428571,50.3,32.714285714285715,31.84285714285714,30.8,25.9,25.7,28.73333333333333,26.866666666666667,25.7,3.9113344,2.802703079,3.483935675,6.40847653,10.27940181,22.98333333,18.95833333,17.075,18.16666667,20.13333333,1.475,1.3,2.25,0.9000000000000001,1.5714285714285716
Myanmar,MMR,33.07142857142857,46.08,31.37142857142857,30.614285714285717,30.6,27.1,27.1,29.666666666666668,27.83333333333333,26.3,6.872328657,8.825066968,2.846659022,5.0126909155,8.1803414755,16.0,16.0,14.83333333,12.513363496,14.372933272,1.5,1.4,2.2,1.04,1.7285714285714286
Namibia,NAM,31.82857142857143,41.86,30.02857142857143,29.38571428571429,30.4,28.3,28.5,30.6,28.8,26.9,4.291591053,3.722394144,2.209382369,3.616905301,6.081281141,10.142176,9.875833333,7.868628338,6.860060322,8.612533214,1.525,1.5,2.15,1.1800000000000002,1.885714285714286
Nauru,NRU,30.585714285714285,37.64,28.685714285714283,28.15714285714286,30.2,60.8,59.9,60.6,58.7,56.75,4.1763772205,4.645539811,3.630874461,3.8832926675,6.8660364545,8.113740799999999,10.306071124166666,8.419756786666666,7.320029167833333,8.715201618,1.55,1.6,2.1,1.32,2.042857142857143
Nepal,NPL,29.34285714285714,33.42,27.34285714285714,26.928571428571427,30.0,93.3,91.3,90.6,88.6,86.6,4.061163388,5.568685478,5.052366553,4.149680034,7.650791768,6.0853056,10.736308915333332,8.970885235333332,7.779998013666666,8.817870022000001,1.5750000000000002,1.7000000000000002,2.05,1.4600000000000002,2.2
Netherlands,NLD,28.1,29.2,26.0,25.7,31.006666666666668,0.0,0.0,0.0,0.0,0.0,1.703497947,2.633699102,1.272460378,2.675720088,10.00120788,4.0568704,11.1665467065,9.522013684,8.239966859499999,8.920538426,1.6,1.8,2.0,1.6,2.1733333333333333
New Caledonia,NCL,30.4,29.916666666666664,27.25,27.5,32.013333333333335,17.333333333333332,17.633333333333333,17.8,17.099999999999998,16.666666666666668,1.6508974925,2.126665502,1.493511039,3.308420348,8.58671632,2.0284352000000005,11.596784497666668,10.073142132666666,8.699935705333333,9.02320683,21.175000000000004,2.0166666666666666,1.957142857142857,20.700000000000003,2.146666666666667
New Zealand,NZL,32.7,30.633333333333333,28.5,29.3,33.02,34.666666666666664,35.266666666666666,35.6,34.2,33.333333333333336,1.598297038,1.619631902,1.7145617,3.941120608,7.17222476,0.0,12.027022288833331,10.624270581333333,9.159904551166663,9.125875234,40.75000000000001,2.2333333333333334,1.9142857142857144,39.8,2.12
Nicaragua,NIC,35.0,31.35,29.75,31.1,34.02666666666667,52.0,52.9,53.4,51.3,50.0,4.94723728,5.376289908,3.681813416,4.928413969,10.46742445,10.89578545,12.45726008,11.17539903,9.619873397,9.228543638,60.32500000000001,2.45,1.8714285714285717,58.900000000000006,2.0933333333333333
Niger,NER,37.3,32.06666666666666,31.0,32.9,35.03333333333333,96.0,42.32,42.72,41.04,40.0,2.96760366,-2.489792651,2.89819376,3.837868028,4.226217919,13.899841205,13.91692353,12.40871035,10.5515030935,10.781543939,79.9,2.666666666666667,1.8285714285714283,78.0,2.066666666666667
Nigeria,NGA,35.1,32.78333333333333,32.25,35.15,36.04,72.0,31.74,32.04,30.78,30.0,12.09510652,11.39642234,13.24602343,16.95284572,18.84718778,16.90389696,15.37658698,13.64202167,11.48313279,12.33454424,39.7,2.8833333333333337,1.7857142857142856,68.55,2.04
North Macedonia,MKD,33.0,33.5,33.5,37.4,37.04666666666667,48.0,21.16,21.36,20.52,20.0,1.458312985,0.766439573,1.200073489,3.230749121,14.20471732,6.10691834,5.609363829,5.193220791,4.857967632,4.633067219,3.7,3.1,1.7428571428571429,59.1,2.0133333333333336
Northern Mariana Islands,MNP,30.3,30.6,34.75,39.65,38.053333333333335,24.0,10.579999999999998,10.68,10.259999999999998,10.0,2.111572165,1.467084803,1.243329198,3.357314837,9.9844202495,4.5163758365,4.422598581,3.9453603955,3.5660671495000003,3.938200276,3.1500000000000004,2.45,1.7,49.650000000000006,1.9866666666666668
Norway,NOR,27.6,27.7,36.0,41.9,39.06,0.0,0.0,0.0,0.0,0.0,2.764831345,2.167730033,1.286584907,3.483880553,5.764123179,2.925833333,3.235833333,2.6975,2.274166667,3.243333333,2.6,1.8,1.657142857142857,40.2,1.96
