Country Name,Country Code,"Persistence to last grade of primary, total (% of cohort)_2018","Persistence to last grade of primary, total (% of cohort)_2019","Persistence to last grade of primary, total (% of cohort)_2020","Persistence to last grade of primary, total (% of cohort)_2021","Persistence to last grade of primary, total (% of cohort)_2022","Share of youth not in education, employment or training, total (% of youth population)_2018","Share of youth not in education, employment or training, total (% of youth population)_2019","Share of youth not in education, employment or training, total (% of youth population)_2020","Share of youth not in education, employment or training, total (% of youth population)_2021","Share of youth not in education, employment or training, total (% of youth population)_2022","Primary completion rate, total (% of relevant age group)_2018","Primary completion rate, total (% of relevant age group)_2019","Primary completion rate, total (% of relevant age group)_2020","Primary completion rate, total (% of relevant age group)_2021","Primary completion rate, total (% of relevant age group)_2022","Literacy rate, adult total (% of people ages 15 and above)_2018","Literacy rate, adult total (% of people ages 15 and above)_2019","Literacy rate, adult total (% of people ages 15 and above)_2020","Literacy rate, adult total (% of people ages 15 and above)_2021","Literacy rate, adult total (% of people ages 15 and above)_2022","Current education expenditure, total (% of total expenditure in public institutions)_2018","Current education expenditure, total (% of total expenditure in public institutions)_2019","Current education expenditure, total (% of total expenditure in public institutions)_2020","Current education expenditure, total (% of total expenditure in public institutions)_2021","Current education expenditure, total (% of total expenditure in public institutions)_2022"
Brunei Darussalam,BRN,93.25530243,97.03595734,97.033035282,62.60144043,,20.716,20.092,21.433,18.679,20.004,102.3259964,94.31999969,100.3528671,89.381240846,67.92603810333334,97.21411133,40.46492973000001,86.75139895454545,97.58999634,64.59000206,95.77705637333334,95.04501088333332,95.74635824,96.04421134565216,95.44784704916668
Bulgaria,BGR,95.83818817,95.83480835,97.53974915,54.3156147,,13.844,13.598,14.777,13.767,12.828,94.27816772,91.78588104,91.22577667,89.52081299,63.15486971166667,68.279981615,35.064105110000014,85.33116635545454,98.41999817,49.54000187,95.19905853,94.0521698,95.48531342,96.10215029478262,95.250925065
Burkina Faso,BFA,55.91910934,54.44878006,62.06301117,46.02978897,,41.005,13.358,12.972,11.87225,22.315,62.8463707,61.82112885,62.045681,63.84238052,58.38370132,39.3458519,29.66328049,83.91093375636363,97.3068733225,34.49000168,94.55223719,93.81630325333332,94.86834462833332,96.16008924391303,95.05400308083334
Burundi,BDI,42.9858017,49.70196915,79.421813965,51.12455654,,35.6275,20.674,11.167,9.9775,20.1718,57.22309113,53.33037949,49.19591904,49.04700089,47.14899826,48.7771482475,35.128779414166665,82.49070115727272,96.193748475,75.54000092,93.90541585,93.58043670666667,94.25137583666668,96.21802819304348,94.85708109666668
Cabo Verde,CPV,61.373149875,88.73948669,96.78061676,56.21932411,,30.25,27.99,8.4295,8.08275,18.0286,81.75383759,93.75691986,85.51049042,87.52124023,68.924497605,58.208444595,40.59427833833333,81.07046855818182,95.0806236275,91.0,93.25859451,93.34457016,93.634407045,96.27596714217393,94.6601591125
Cambodia,KHM,79.76049805,79.69551849,97.12801170375,61.31409168,,24.237,11.383,5.692,6.188,15.8854,85.03299713,87.6190033,94.90927887,94.65799713,90.69999695,67.6397409425,46.0597772625,79.6502359590909,93.96749878,83.77999878,92.61177317,93.10870361333332,93.01743825333332,96.33390609130436,94.46323712833332
Cameroon,CMR,63.93796158,82.48130035142857,97.4754066475,66.40885925,,18.224,11.713,11.7785,23.223,13.7422,64.43177032,65.44235992,66.45800018,68.73432159,69.43473816,77.07103729,51.525276186666666,78.23000336,92.8543739325,72.479999162,91.96495183,92.87283706666668,92.40046946166666,96.3918450404348,94.26631514416668
Canada,CAN,69.90443102666667,85.26708221285715,97.82280159125,69.52417087250001,,12.211,12.043,17.865,12.815,11.599,87.26175691,82.72117996,71.70976384166667,85.116481795,83.446720125,63.84596506666667,56.99077511083333,64.6500028,91.741249085,61.179999544,91.31813049,92.63697052,91.78350067,96.44978398956522,94.06939316
Cayman Islands,CYM,75.87090047333334,88.05286407428571,98.170196535,72.63948249500001,,20.489666666666665,13.739285714285714,18.1364,13.319,12.1632,110.0917435,100.0,76.96152750333333,101.498642,97.45870209,50.62089284333334,62.456274035,51.07000224,90.6281242375,49.879999926,90.687272642,93.054673768,92.408268736,96.50772293869564,93.87247117583334
Central African Republic,CAF,81.83736992,90.83864593571428,98.51759147875,75.7547941175,,28.76833333333333,15.435571428571428,18.4078,13.823,12.7274,75.25039102,99.3613300325,82.213291165,72.514135375,98.1613712425,37.39582062,67.92177295916667,37.49000168,89.51499939,38.580000308,90.056414794,93.472377016,93.033036802,96.5656618878261,93.67554919166668
