Country Name,Country Code,"Persistence to last grade of primary, total (% of cohort)_2018","Persistence to last grade of primary, total (% of cohort)_2019","Persistence to last grade of primary, total (% of cohort)_2020","Persistence to last grade of primary, total (% of cohort)_2021","Persistence to last grade of primary, total (% of cohort)_2022","Share of youth not in education, employment or training, total (% of youth population)_2018","Share of youth not in education, employment or training, total (% of youth population)_2019","Share of youth not in education, employment or training, total (% of youth population)_2020","Share of youth not in education, employment or training, total (% of youth population)_2021","Share of youth not in education, employment or training, total (% of youth population)_2022","Primary completion rate, total (% of relevant age group)_2018","Primary completion rate, total (% of relevant age group)_2019","Primary completion rate, total (% of relevant age group)_2020","Primary completion rate, total (% of relevant age group)_2021","Primary completion rate, total (% of relevant age group)_2022","Literacy rate, adult total (% of people ages 15 and above)_2018","Literacy rate, adult total (% of people ages 15 and above)_2019","Literacy rate, adult total (% of people ages 15 and above)_2020","Literacy rate, adult total (% of people ages 15 and above)_2021","Literacy rate, adult total (% of people ages 15 and above)_2022","Current education expenditure, total (% of total expenditure in public institutions)_2018","Current education expenditure, total (% of total expenditure in public institutions)_2019","Current education expenditure, total (% of total expenditure in public institutions)_2020","Current education expenditure, total (% of total expenditure in public institutions)_2021","Current education expenditure, total (% of total expenditure in public institutions)_2022"
Oman,OMN,98.82694244,99.20662689,96.51299286,98.65512848,79.04912801628205,18.262,17.575499999999998,10.115,20.628,25.5,97.84481049,99.24761963,92.14588165,88.50686646,86.59046173,95.6515274,60.21822275857143,85.3958800431579,87.06666904111111,97.33905792,86.64325387,93.10556793,90.16916656,88.7257309,89.13182831
Pakistan,PAK,65.28784943,97.47133890666666,96.337687175,98.337568666,79.29618952564103,30.958,29.708,14.078,34.564,22.854666666666667,62.08599854,63.49900055,90.43520863666669,68.23300171,86.50579071,57.01057053,57.99885941,87.22561364052632,88.65833579222222,96.01220975357144,86.06550707,91.78760147,90.97571716,89.830230716,90.218852236
Palau,PLW,70.57172139833332,95.73605092333334,96.16238149,98.020008852,79.543251035,23.6695,23.1955,18.041,26.931,20.209333333333333,77.424499515,74.980667115,88.72453562333334,98.4189682,86.42111969,76.21119118,76.86746788,89.05534723789474,90.25000254333334,94.68536158714286,85.48776027,90.46963501,91.78226776,90.934730532,91.305876162
Panama,PAN,75.85559336666667,94.00076294,95.987075805,97.702449038,79.79031254435897,16.381,16.683,18.735,19.298,17.564,92.76300049,86.46233368,87.01386261,94.77577209,86.33644867000001,95.41181183,95.73607635,90.88508083526315,91.84166929444444,93.35851342071427,84.91001347,89.15166855000001,92.58881836,92.039230348,92.392900088
Papua New Guinea,PNG,81.139465335,94.6416015625,95.81177012,97.384889224,80.03737405371794,16.837,16.746333333333332,21.048666666666666,20.430333333333333,27.69,91.66117350333332,87.99691518333333,84.99991989,97.26826732666667,86.25177765000001,94.71630478,94.47480392,92.71481443263158,93.43333604555556,92.03166525428573,84.33226667,87.83370209,93.39536896,93.143730164,93.479924014
Paraguay,PRY,86.42333730333333,95.282440185,95.636464435,97.06732941,80.28443556307693,17.293,16.80966666666667,23.36233333333333,21.562666666666665,25.2345,90.55934651666666,89.53149668666667,82.98597717,99.76076256333332,86.16710663,94.02079773,93.21353149,94.54454803,95.02500279666668,90.70481708785714,83.75451987,86.51573563,94.20191956,94.24822998,94.56694794
Peru,PER,91.70720927166668,95.9232788075,95.46115875,97.96527863,80.5314970724359,17.749,16.873,25.676,22.695,22.779,89.45751953,91.06607819,90.549488065,102.2532578,102.5783691,94.40827179,94.745849605,94.49793243,96.61666954777778,89.37796892142858,83.17677307,85.19776917,86.55557251,81.91580963,80.10112762
Philippines,PHL,96.99108124,96.56411743,96.74260965666666,98.938499455,80.77855858179487,19.89,18.763,21.054,17.467,12.756,110.8820038,101.0240021,98.11299896,91.10199738,87.98300171,91.759186745,96.27816772,98.47457123,98.2083362988889,88.051120755,87.2972908,89.09296036,89.99143219000001,79.76492690875,77.967450615
Poland,POL,99.54192352,95.984254835,98.02406056333334,99.91172028,81.02562009115384,9.974,9.573,10.136,12.445,10.5,94.18228149,94.6803894,100.32471083,97.56000899,97.19225311,89.1101017,96.5246570253846,98.39370727727272,99.80000305,86.72427258857142,91.41780853,92.98815155,93.42729187,77.6140441875,75.83377361
Portugal,PRT,99.06150818,95.40439224,99.30551147,98.18438975333332,81.27268160051281,8.373,8.02,9.143,7.74,7.832,99.7984314,101.2999878,102.5364227,104.0180206,98.11350249428573,86.46101665500001,96.77114633076924,98.31284332454544,96.77999878,85.39742442214285,95.92218018,96.51197052,96.63517761,75.46316146625,73.700096605
Puerto Rico,PRI,93.19432831,94.824529645,92.06225967,96.45705922666666,81.5197431098718,10.421,10.232333333333331,11.013333333333334,11.165,11.060666666666666,85.77120209,100.9036751,102.83530045,98.98941038,99.03475187857144,83.81193161,97.01763563615384,98.23197937181816,92.40000153,84.07057625571429,95.54538981333332,90.82852936,95.63137563,73.312278745,71.5664196
Qatar,QAT,87.32714844,94.24466705,84.81900787,94.7297287,81.76680461923077,12.469,12.444666666666668,12.883666666666668,14.59,14.289333333333332,99.82433319,100.5073624,103.1341782,93.96080016,99.95600126285714,81.162846565,97.26412494153846,98.1511154190909,95.779716495,82.74372808928571,95.16859944666666,85.1450882,94.62757365,71.16139602375,69.43274259500001
Romania,ROU,94.38813019,95.12516022,95.77631378,95.33465271,82.01386612858974,14.517,14.657,14.754,18.015,17.518,87.99362183,87.34140778,86.38111115,88.93218994,100.87725064714286,78.51376152,97.51061424692308,98.07025146636364,99.15943146,81.41687992285713,94.79180908,93.67218018,93.62377167,69.0105133025,67.29906559
Russian Federation,RUS,99.09838104,92.94285583666668,95.8762168875,95.93957672,82.26092763794871,20.4105,21.6035,20.4465,23.529,10.076,100.8689194,101.663208,91.53340656666668,88.37883377,101.79850003142856,75.86467647500001,97.75710355230768,97.98938751363636,99.92777252,80.09003175642857,92.44580841,95.1196556125,95.07984543,66.85963058125,65.165388585
Rwanda,RWA,66.61717224,90.76055145333332,95.976119995,96.54450073,82.50798914730768,26.304,28.55,26.139,29.043,28.584,81.47086334,92.42076874,96.68570198333332,87.8254776,102.71974941571428,73.21559143,98.00359285769233,97.90852356090907,99.513885495,78.76318359,94.73379262333331,96.567131045,96.53591919,64.70874786,63.03171158
Samoa,WSM,93.33982849,88.57824707,96.0760231025,97.14942474,82.75505065666667,24.75,25.3125,24.685,26.58725,30.09,102.8619995,104.0800018,101.8379974,100.4530029,103.6409988,75.89662085555555,98.25008216307693,97.82765960818182,99.09999847,89.33897017999999,97.02177683666667,98.0146064775,97.99199295,82.05724716,64.59590673625
San Marino,SMR,98.18727112,97.91732788,96.17592621,97.75434875,83.00211216602564,23.196,22.075,23.231,24.1315,26.183,87.8628006,102.8901672,90.24389648,99.14286041,105.8252411,78.57765028111112,98.49657146846154,97.74679565545452,98.91843986125,99.91475677,99.30976105,99.46208191,99.44806671,99.40574646,66.1601018925
Sao Tome and Principe,STP,90.28940201,88.41152191,84.61305364,85.45822270333333,83.24917367538461,21.642,18.8375,21.777,21.67575,22.276,94.8657112,100.69932936,93.22627258,97.803245545,112.97218705,81.25867970666667,98.74306077384615,97.66593170272726,98.7368812525,93.75,98.68296242,98.7887020125,98.86285485,98.89345169,67.72429704875
Saudi Arabia,SAU,82.3915329,78.90571594,73.05018107,73.16209665666666,83.49623518474358,20.088,15.6,20.323,19.22,18.369,101.8686218,98.50849152,96.20864868,96.46363068,120.119133,83.93970913222222,98.98955007923075,97.58506775,98.55532264375,75.70999908499999,98.05616379,98.115322115,98.27764299,98.38115692,69.288492205
Senegal,SEN,90.56478119,69.39990997,61.4873085,60.86597061,83.74329669410255,18.534,33.898,18.25,17.967,33.034,100.06742476,61.59621048,61.46038055,63.55509186,57.22800064,86.62073855777778,99.23603938461538,97.12337748333331,98.373764035,57.66999817,97.42936516,97.4419422175,97.69243113,97.86886215,70.85268736125
Serbia,SRB,98.73802948,97.53424072,98.32185364,99.39446259,83.99035820346154,16.98,15.663,16.177,16.714,13.231,98.26622772,98.36312866,98.68878174,98.65824127,88.56411743,89.30176798333333,99.48252869,96.66168721666666,98.19220542625,54.659998576666666,96.80256653,96.76856232,97.10721927,97.35656738,72.4168825175
Seychelles,SYC,95.98358917,95.51426697,95.02448273,95.61907196,84.23741971282051,25.073500000000003,21.822,26.009,13.656999999999998,11.028333333333332,102.5570068,96.48438263,97.94264221,93.18734741,101.0478134,91.9827974088889,98.81488037333332,96.19999695,98.0106468175,51.64999898333333,96.246145632,96.18385773,96.52200741,87.29246521,73.98107767375001
Sierra Leone,SLE,97.735153195,39.90512085,97.376205445,96.5465240475,84.48448122217948,33.167,12.976,15.2345,10.599999999999998,8.825666666666667,80.01641846,81.66159058,85.28259277,95.43763733,99.58978461,94.66382683444444,98.14723205666668,96.665924075,97.82908820875,48.63999939,95.689724734,95.59915314,95.93679555,77.22836304,75.54527283
Singapore,SGP,99.48671722,99.59400177,99.72792816,97.473976135,84.73154273153845,4.3,4.13,4.46,7.543,6.623,99.92182922,98.07794952,101.4013977,100.5579834,98.13175582,97.34485626,97.47958374,97.1318512,97.6475296,47.37083308,95.133303836,95.01444855,95.35158369,79.97811236,78.58050973285714
Sint Maarten (Dutch part),SXM,98.952571865,99.393821715,99.648864745,98.4014282225,84.97860424089743,7.352499999999999,7.304499999999999,7.603999999999999,9.309,8.309,96.023815155,94.798625945,99.11022949,96.35300064,96.67372703,88.37027086285714,97.07014846833331,97.31467724125,96.37316767166666,46.10166677,94.576882938,94.42974396,94.76637183,82.72786168,81.61574663571429
Slovak Republic,SVK,98.41842651,99.19364166,99.56980133,99.32888031,85.22566575025641,10.405,10.479,10.748,11.075,9.995,92.12580109,91.51930237,96.81906128,92.14801788,95.21569824,79.39568546571428,96.66071319666666,97.4975032825,95.09880574333332,44.83250046,94.02046204,93.84503937,94.18115997,85.477611,84.65098353857142
Slovenia,SVN,99.72619629,99.56310272,99.36643219,99.73948669,85.47272725961538,6.619,7.029,7.683,6.597,8.234,97.79572296,97.25195313,96.795578,97.17984772,97.25076294,70.42110006857143,96.251277925,97.68032932375,93.824443815,43.56333415,91.6729126,92.95205688,92.13980103,88.22736032,87.68622044142857
Solomon Islands,SLB,74.81636047,98.23309071666668,98.06762695333332,99.74586369076924,85.71978876897435,14.933666666666666,25.3815,15.921666666666669,15.378,17.218666666666667,84.86029816,84.01403046,96.35727182666668,97.12448120333332,97.9966888475,61.446514671428574,95.84184265333332,97.863155365,92.55008188666667,42.29416784,92.79945882333334,93.90615081333334,93.43429057,90.97710964,90.72145734428572
Somalia,SOM,85.70668411,96.90307871333334,96.76882171666666,99.75224069153846,85.96685027833333,23.24833333333333,43.734,24.16033333333333,24.159,26.203333333333333,90.62673569,90.325080875,95.91896565333332,97.06911468666668,98.742614755,52.47192927428571,95.43240738166666,98.04598140625,91.27571995833334,41.02500153,93.92600504666666,94.86024474666668,94.72878011,93.72685896,93.75669424714286
South Africa,ZAF,96.59700775,95.57306671,95.47001648,99.7586176923077,86.2139117876923,31.563,32.46,32.399,32.94,35.188,96.39317322,96.63613129,95.48065948,97.01374817,99.4885406625,43.49734387714286,95.02297211,98.2288074475,90.00135803,53.89185333499999,95.05255127,95.81433868,96.02326965,96.47660828,96.79193115
South Sudan,SSD,98.215114595,97.676445005,97.67726898,99.76499469307691,86.46097329705128,21.702,22.022,23.0405,22.212,22.12,96.032787325,96.63661957,95.74300003,98.0893898,100.23446657,34.52275848,94.09963481,98.41163348875,90.81058247666668,66.75870513999999,94.976730345,95.25832748,95.295475005,88.64876938249999,96.84640433363636
Spain,ESP,99.83322144,99.7798233,99.88452148,99.77137169384616,86.70803480641025,11.841,11.584,13.682,11.484,9.052,95.67240143,96.63710785,96.00534058,99.16503143,100.9803924775,98.43650055,93.17629751,98.59445953,91.61980692333334,79.625556945,94.90090942,94.70231628,94.56768036,80.82093048499999,96.90087751727272
Sri Lanka,LKA,98.83013916,98.71217346,95.63491929857145,99.77774869461538,86.95509631576923,24.184,21.213,21.512,19.378,18.051,94.28358459666666,95.86199951,96.58100128,98.55699921,101.726318385,91.70982361,92.25296021,92.38230133,92.42903137,92.49240875,74.65514374,94.78983592625,94.66816616125,72.9930915875,96.9553507009091
St. Kitts and Nevis,KNA,95.404914855,96.20649719,91.38531711714286,99.78412569538462,87.2021578251282,28.399,25.7575,32.563,30.107,22.7175,92.89476776333332,94.358104705,93.17063141,130.5810394,102.4722442925,85.507295228,90.41611154214286,90.65289365307692,92.85752614166668,91.54037128545454,84.24830245999999,94.8773555725,94.7686519625,65.16525269,97.00982388454544
St. Lucia,LCA,91.97969055,93.70082092,87.13571493571429,99.79050269615384,87.44921933448717,32.614,30.302,43.614,40.836,27.384,91.50595093,92.8542099,89.76026154,83.57800293,103.2181702,79.304766846,88.57926287428572,88.92348597615386,93.28602091333332,90.58833382090909,93.84146118,94.96487521875,94.86913776375,67.05227966733334,97.06429706818182
St. Martin (French part),MAF,91.3924427025,92.19178581,82.88611275428572,99.79687969692309,87.69628084384615,27.326,25.347,36.1946,33.6834,33.76566666666667,104.923419965,103.07660675,104.42013167,99.648502365,102.55260165,73.10223846400001,86.74241420642856,87.19407829923077,93.714515685,89.63629635636363,94.036619566,95.052394865,94.969623565,68.93930664466667,97.11877025181818
St. Vincent and the Grenadines,VCT,90.805194855,90.6827507,78.63651057285715,99.8032566976923,87.94334235320513,22.038,20.392,28.7752,26.5308,40.147333333333336,118.340889,113.2990036,119.0800018,115.7190018,101.8870331,66.899710082,84.90556553857142,85.4646706223077,94.14301045666669,88.68425889181817,94.231777952,95.13991451125,95.07010936625,70.826333622,97.17324343545454
Sudan,SDN,90.2179470075,89.17371559,74.38690839142858,99.80963369846154,88.1904038625641,16.75,15.437,21.3558,19.3782,46.529,66.56889343,97.029376985,102.33349608,96.29226686,101.22146455,60.6971817,83.06871687071428,83.73526294538462,94.57150522833334,87.73222142727272,94.426936338,95.2274341575,95.1705951675,72.71336059933333,97.2277166190909
Suriname,SUR,89.63069916,87.66468048,70.13730621,99.81601069923076,88.43746537192308,11.462,10.482,13.936400000000004,12.2256,25.7435,79.52462769,80.75975037,85.58699036,76.86553192,100.555896,65.42155020428572,81.23186820285714,82.00585526846154,95.0,86.78018396272728,94.622094724,95.31495380375,95.27108096875,74.60038757666666,97.28218980272727
Sweden,SWE,99.67810059,99.70292664,99.81317139,99.8223877,88.68452688128204,6.174,5.527,6.517,5.073,4.958,99.87551117,98.95915985,99.67352295,99.8192215,99.89032745,70.14591870857143,79.39501953499999,80.27644759153846,94.80638122666667,85.82814649818182,94.81725311,95.40247345,95.37156677,76.487414554,97.33666298636363
Switzerland,CHE,99.48461914,99.6212616,99.44254303,99.59851837,88.93158839064102,7.925,7.707,8.621,9.578,9.314,94.42372131,93.59322357,94.27581787,95.4812088,95.06360626,74.87028721285715,77.55817086714285,78.54703991461538,94.61276245333332,84.87610903363637,94.00344917727271,95.00209392272728,94.98466830555556,78.37444153133333,97.39113617
Syrian Arab Republic,SYR,94.63397725333334,92.60372670666666,68.38844299,87.38059998,89.1786499,9.63925,9.50025,10.531666666666666,10.87125,10.32225,85.15780385000001,83.59265518000001,55.6847496,55.752491,58.26871872,79.59465571714286,75.72132219928571,76.81763223769231,94.41914368,83.92407156909091,93.18964524454545,94.60171439545456,94.59776984111112,80.26146850866667,97.44560935363636
Tajikistan,TJK,89.78333536666666,85.58619181333333,66.628700254,82.945622256,89.1786499,11.3535,11.2935,12.442333333333334,12.1645,11.3305,75.89188639,73.59208679,61.393388745,64.159246445,72.734357835,84.31902422142858,73.88447353142857,75.08822456076923,94.31276194333334,82.97203410454546,92.37584131181818,94.20133486818182,94.21087137666667,82.148495486,97.50008253727272
Tanzania,TZA,84.93269348,78.56865692,64.868957518,78.510644532,89.1786499,13.06775,13.08675,14.353,13.45775,12.33875,66.62596893,63.5915184,67.10202789,72.56600189,87.19999695,89.04339272571428,72.04762486357143,73.35881688384615,94.20638020666668,82.01999664,91.56203737909092,93.80095534090908,93.82397291222225,84.03552246333334,97.5545557209091
Thailand,THA,87.35695648000001,81.7428760525,63.109214782,74.075666808,89.1786499,14.782,14.88,15.135,14.751,13.347,98.3613205,99.3010025,99.44000244,99.99299622,97.39299774,93.76776123,70.21077619571429,71.62940920692307,94.09999847,81.88999661272727,90.74823344636364,93.40057581363637,93.43707444777776,85.92254944066667,97.60902890454544
Timor-Leste,TLS,89.78121948,84.917095185,61.349472046,69.640689084,89.1786499,19.162,12.639,15.6155,31.171,29.122,100.5970001,102.625,100.8909988,94.45259476,93.266895295,92.043734741,68.37392752785713,69.90000153,95.86666615666668,81.75999658545454,89.93442951363636,93.00019628636365,93.05017598333332,87.80957641799999,97.6635020881818
Togo,TGO,91.795849608,88.09131431750001,59.58972931,65.20571136,89.1786499,23.542,10.398,16.096,24.924,13.251,90.13722229,86.70201111,87.49404907,88.9121933,89.14079285,90.319708252,66.53707886,71.2807243385,97.63333384333332,81.62999655818182,89.12062558090909,92.59981675909091,92.66327751888888,89.69660339533333,97.71797527181818
Tonga,TON,93.810479736,91.26553345,72.16033681333333,72.11206359399999,89.1786499,27.922,12.5015,16.5765,18.677,15.0665,90.3619384775,89.1830062875,112.6009979,111.8769989,104.1760025,88.595681763,71.20724487333332,72.66144714699999,99.40000153,81.49999653090909,88.30682164818182,92.19943723181818,92.27637905444443,91.58363037266666,97.77244845545454
Trinidad and Tobago,TTO,95.825109864,94.12873332,84.73094431666667,79.018415828,89.1786499,26.749666666666663,14.605,17.057,15.465,16.882,90.586654665,91.664001465,105.164279925,104.52568054,105.122306825,86.871655274,75.87741088666667,74.0421699555,99.47500133875,81.36999650363636,87.49301771545456,91.79905770454543,91.88948059,93.47065735,97.8269216390909
Tunisia,TUN,97.839739992,96.99193319,97.30155182,85.924768062,89.1786499,25.577333333333332,26.788,22.6885,20.1225,23.769,90.8113708525,94.1449966425,97.72756195,97.17436218,106.06861115,85.147628785,80.5475769,75.422892764,99.5500011475,81.23999647636364,86.67921378272727,91.39867817727271,79.710933685,95.11625163,97.88139482272727
Turkiye,TUR,99.85437012,99.85513306,99.82546234,92.831120296,89.1786499,24.405,26.02,28.32,24.78,24.119,91.03608704,96.62599182,100.5773315,103.4356232,107.014915475,83.423602296,96.74221039,76.8036155725,99.62500095625,81.10999644909091,85.86540985,90.99829865,67.53238678,96.76184591,97.93586800636363
Turkmenistan,TKM,99.620448306,94.15692139,99.28627014,99.73747253,89.1786499,22.68042857142857,22.186,26.07528571428572,22.036250000000003,27.529,121.92137147,94.33980814666668,100.8313166,110.1450577,107.9612198,81.699575807,96.91559346666666,78.184338381,99.700000765,80.97999642181819,83.513801575,91.498739628,97.49046326,98.40744019,97.99034119
Turks and Caicos Islands,TCA,99.386526492,88.45870972,99.2438182825,85.714111325,89.1786499,20.955857142857145,18.352,23.830571428571428,19.2925,30.939,152.8066559,92.05362447333331,101.0853017,112.5954208,110.7355881,79.975549318,97.08897654333332,79.5650611895,99.77500057375,80.84999639454546,81.1621933,91.999180606,96.9493370075,94.618734744,97.99034119
Tuvalu,TUV,99.152604678,82.76049805,99.201366425,71.69075012,89.1786499,19.231285714285715,14.518,21.585857142857144,16.54875,34.349,94.2307663,89.7674408,101.3392868,98.69564819,96.98275757,78.251522829,97.26235962,80.945783998,99.8500003825,80.71999636727273,85.23785146333333,92.499621584,96.408210755,90.830029298,97.99034119
Uganda,UGA,98.918682864,90.581878665,99.1589145675,73.95141601333334,89.1786499,17.50671428571429,10.684,19.341142857142856,13.805,26.227666666666664,89.069812775,89.410419465,95.54854202,93.99276352,97.1558361075,76.52749634,97.43574269666668,82.32650680649999,99.92500019125,80.58999634,89.31350962666667,93.000062562,95.8670845025,87.041323852,97.99034119
Ukraine,UKR,98.68476105,98.40325928,99.11646271,76.21208190666667,89.1786499,15.782142857142858,11.234666666666666,17.09642857142857,12.261,18.10633333333333,83.90885925,89.05339813,89.75779724,89.28987885,97.328914645,80.962768556,97.60912577333332,83.70722961499999,100.0,89.43770218,93.38916779,93.50050354,95.32595825,83.252618406,97.99034119
United Arab Emirates,ARE,99.248531345,99.11444092,99.210460665,78.47274780000001,89.1786499,14.057571428571428,11.785333333333334,14.851714285714287,10.717,9.985,90.546028135,118.8720093,105.3207169,94.1139679,97.5019931825,85.398040772,97.78250885,85.0879524235,98.12635803,98.28540802,95.537124635,73.76706696,73.88050842,79.46391296,97.99034119
United Kingdom,GBR,99.81230164,99.82562256,99.30445862,80.73341369333333,89.1786499,12.333,12.336,12.607,11.41,11.809,97.18319702,98.81459045,97.69728851,98.93805695,97.67507172,89.833312988,98.11178843333332,86.468675232,98.5942478175,98.7140502925,97.68508148,97.8219986,97.7324295,84.9515508,97.99034119
United States,USA,99.31158447666668,90.55490875,87.10350037,82.99407958666667,89.1786499,10.922,10.409,13.892,12.205,11.244,100.0926971,100.4890518,100.9236679,101.0912781,95.74352264,94.268585204,98.44106801666666,87.84939804049999,99.062137605,99.142692565,90.62403107,90.42475891,90.00189972,90.43918864,97.99034119
Uruguay,URY,98.81086731333332,98.93932343,98.74642944,85.25474548,89.1786499,17.954,17.685,25.10533333333333,14.94,14.273,101.5738831,100.9095268,100.9275436,100.50354,96.73476028,98.70385742,98.7703476,89.230120849,99.5300273925,99.5713348375,96.34745789,96.34745789,96.18579865,95.92682648,97.99034119
Uzbekistan,UZB,98.31015015,99.70925903,98.08872986,87.51541137333334,89.1786499,15.98825,26.0925,36.318666666666665,14.9385,13.4555,100.4690018,101.3300018,101.9140015,99.86799622,97.72599792,99.9928894,99.99994659,90.6108436575,99.99791718,99.99997711,100.0,98.016033175,97.79727936,97.55223083,97.99034119
Vanuatu,VUT,97.824839786,84.76444244,77.11128998,89.77607726666668,89.1786499,14.0225,34.5,47.532,14.937,12.638,103.5030009,95.08799744,96.65299988,95.28600311,106.038002,99.438034054,98.58458709333333,91.991566466,89.09999847,98.79998779,100.0,99.68460846,99.40876007,97.592596432,97.99034119
"Venezuela, RB",VEN,97.339529422,88.32509612749999,82.5014133475,92.03674316,89.1786499,12.05675,23.8685,37.13,14.9355,11.8205,106.537,95.07276726,97.2586326625,95.19540405,110.94599915,98.883178708,97.16922759666669,93.3722892745,88.650549314,97.59999847,100.0,99.68460846,99.40876007,97.632962034,97.99034119
Viet Nam,VNM,96.854219058,91.885749815,87.891536715,94.29740905333334,89.1786499,10.091,13.237,14.184,14.934,11.003,109.5709991,95.05753708,97.864265445,95.10480499,115.8539963,98.328323362,95.7538681,94.753012083,88.201100158,96.13326263,100.0,99.68460846,99.40876007,97.673327636,97.99034119
Virgin Islands (U.S.),VIR,96.368908694,95.4464035025,93.2816600825,96.55807494666666,89.1786499,21.638,22.941000000000003,23.917,23.056,19.5895,102.684753395,95.0423069,98.4698982275,95.01420593,104.975639355,97.773468016,96.566062925,96.1337348915,87.751651002,96.98855209,100.0,99.68460846,99.40876007,97.713693238,97.99034119
West Bank and Gaza,PSE,95.88359833,99.00705719,98.67178345,98.81874084,89.1786499,33.185,32.645,33.65,31.178,28.176,95.79850769,95.02707672,99.07553101,94.92360687,94.09728241,97.21861267,97.37825775,97.5144577,87.302201846,97.84384155,100.0,99.68460846,99.40876007,97.75405884,97.99034119
World,WLD,81.35482025,83.62139893,83.8547287,84.41600037,89.1786499,33.067,32.61633333333334,32.785,31.244666666666667,28.57333333333333,87.74307251,87.48777771,87.60629272,88.38974762,91.13854218,86.33905029,86.48960114,86.7115097,86.85275269,87.01174927,100.0,99.68460846,99.40876007,97.75405884,97.99034119
"Yemen, Rep.",YEM,82.68213399,84.93765004666666,83.8547287,84.41600037,89.1786499,32.949000000000005,32.587666666666664,31.92,31.311333333333334,28.970666666666663,88.73746490333333,88.40257263333334,89.02649942666666,87.62649790333333,89.46469371,86.33905029,86.48960114,87.10575485,86.85275269,87.95783233666667,100.0,99.68460846,99.40876007,97.75405884,97.99034119
Zambia,ZMB,84.00944773,86.25390116333334,83.8547287,84.41600037,89.1786499,32.831,32.559,31.055,31.378,29.368,89.73185729666667,89.31736755666667,90.44670613333334,86.86324818666667,87.79084524,86.33905029,86.48960114,87.5,86.85275269,88.90391540333333,100.0,99.68460846,99.40876007,97.75405884,97.99034119
Zimbabwe,ZWE,85.33676147,87.57015228,83.8547287,84.41600037,89.1786499,32.831,29.368,31.055,30.431,32.236,90.72624969,90.23216248,91.86691284,86.09999847,86.11699677,86.33905029,86.48960114,87.5,86.85275269,89.84999847,100.0,99.68460846,99.40876007,97.75405884,97.99034119
