Country Name,Country Code,Access to electricity (% of population),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),"Air transport, passengers carried",Compensation of employees (current LCU),"Contraceptive prevalence, any method (% of married women ages 15-49)",Control of Corruption: Estimate,"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Forest area (% of land area),Gini index,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)",Human capital index (HCI) (scale 0-1),"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)","Physicians (per 1,000 people)",Political Stability and Absence of Violence/Terrorism: Estimate,Population living in slums (% of urban population),Pregnant women receiving prenatal care (%),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),Rail lines (total route-km),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Total greenhouse gas emissions (kt of CO2 equivalent),"Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Australia,AUS,100.0,33.924865555625,23346254.0,59698000000.0,64.81739130434782,1.632955909,92.36687977999999,10.6837368,17.42131456,28.233333333333334,1.57377553,6.236666666666666,0.770239532,95.0,95.0,93.0,94.6935,0.846905537,0.860925459,367900.0,10.259400406666666,83.2,94.14314778333333,1.26,105.231579,0.6666666666666667,117929.0,14.91264343,99.67525736333334,4.102,0.861676931,20.816002857142855,95.13125,11.9,3.6,2.5,99.07051339333333,1.851111111111111,30.46357616,3543.466666666667,57411.0,1.813946962,0.1,1.614245057,10.706,85.72791667,94.398383,92.231287,571903.1199,6.456,1.298030496,,
Austria,AUT,100.0,32.1327081175,13285414.0,17093290000.0,63.05652173913043,1.477789164,93.15242004,11.39,47.25096946,29.8,1.606263638,7.06,0.746739745,85.0,85.0,95.0,87.5294,1.381910634,0.729699453,551450.0,13.718800813333331,81.19268293,90.29629770666666,1.24,120.3155961,0.8,20314.0,16.65,99.70838165,5.352,0.887528837,27.026644285714287,95.175,3.3,1.3,2.5,97.61239624,1.5866666666666667,39.3442623,4966.0,141816.0,1.395227313,0.0,1.770163417,11.419,89.77916667,93.234139,87.392972,71017.8287,5.201,1.39443779,,
Azerbaijan,AZE,100.0,30.340550679375,545265.0,3534600000.0,61.29565217391304,-1.077084064,89.36862946,5.85,13.69418968,28.9,-0.155563846,4.875,0.577767551,79.0,79.0,82.0,84.6,2.75980947,2.236277062,735000.0,17.17820122,66.868,86.44944763000001,1.22,100.577047,0.7857142857142857,1084.0,57.83,94.15287781,4.178,-0.852247477,33.23728571428572,95.21875,9.5,0.0,2.5,98.53372955,1.3222222222222222,17.3553719,2239.18,1572.0,-0.336040139,18.75,-0.730720103,10.6475,70.86708333,75.30816,54.801393,55351.99383,7.24,-1.541516423,,
"Bahamas, The",BHS,100.0,28.548393241249997,1272798.762,760847005.0,59.53478260869565,1.10620594,91.4649639175,7.64700842,50.93506494,28.0,0.405644178,2.69,0.615119785,83.0,83.0,87.0,92.4437,0.038521098,17.95943873,632000.0,4.25,72.677,82.60259755333334,1.2000000000000002,114.6450432,0.7714285714285715,0.0,21.76495934,94.31964874500001,3.004,0.830237448,39.44792714285714,95.2625,17.2,3.4,5.566666666666666,97.4175472225,1.0577777777777777,12.82051282,2882.044,15.0,0.001366154,37.5,0.023263842,9.876000000000001,48.14333333,80.47779,66.921059,2801.144379,6.6018,0.91546458,,
Bahrain,BHR,100.0,26.756235803124998,1451359.0,1389808924.0,57.77391304347826,-0.09359394,93.561298375,4.71684837,0.891719745,27.1,0.390768141,3.68,0.652472019,98.0,98.0,99.0,99.671,-2.317706293,0.0,529000.0,6.2725,79.174,78.75574747666667,1.1800000000000002,119.86485,0.7571428571428571,-48716.0,26.246315,94.48641968000001,1.83,-0.61010927,45.658568571428575,95.30625,24.45,7.049999999999999,8.633333333333333,96.301364895,0.7933333333333334,15.0,3524.908,256.0,0.614857495,56.25,0.455399364,9.1045,60.0125,90.909328,88.873736,54151.41004,5.9636000000000005,-1.453301787,,
Bangladesh,BGD,96.2,24.964078365,2984121.694,579600000000.0,56.01304347826087,-1.003677249,95.6576328325,2.27063942,14.46877161,26.2,-0.77972573,4.67,0.464036435,98.0,98.0,97.0,36.1091,5.691074747,7.303352775,426000.0,8.295,71.968,74.9088974,1.1600000000000001,105.2911628,0.7428571428571429,-61154.0,74.00198364,94.653190615,0.656,-0.915807784,51.86921,95.35,31.7,10.7,11.7,95.1851825675,0.528888888888889,20.91690544,4167.772,866534.0,-0.906213522,75.0,-0.56792897,8.333,61.80291667,79.535628,74.108198,206570.3527,5.3254,-0.769557953,,
Barbados,BRB,100.0,23.171920926875,2105897.847,292757257307.0,54.25217391304348,1.194066882,97.75396729,7.37276554,14.65116279,25.299999999999997,0.444022268,5.66,0.582057312,85.0,85.0,89.0,72.6766,5.619609161,14.60670555,341500.0,8.05,77.393,77.27685546875,1.1400000000000001,105.0970277,0.7285714285714285,0.0,42.92656708,94.81996155,1.5066666666666668,1.120577455,27.072660000000003,95.39375,31.1,7.4,2.5,94.06900024,0.2644444444444445,20.0,4810.636,434717.0,0.467795849,37.7,0.296676338,7.5615000000000006,71.55791667,87.729218,81.647407,3656.467698,4.687200000000001,1.125459075,,
Belarus,BLR,100.0,21.37976348875,1227674.0,5914514614.0,52.49130434782609,-0.133964226,91.59693909,6.41,43.19440339,24.4,-0.82950896,5.59,0.700078189,97.0,97.0,97.0,85.0879,5.548143575,18.3471314,257000.0,9.0325,72.45721951,79.6448135375,1.12,121.490553,0.7142857142857142,13589.0,24.77,98.26396179,2.3573333333333335,-0.887608171,2.27611,95.4375,17.950000000000003,4.35,2.5,95.61006165,0.0,40.0,5453.5,2900.0,-0.799875796,0.4,-1.082241893,6.79,81.31291667,87.053777,62.119369,87868.32147,4.049,-1.453498125,,
Belgium,BEL,100.0,19.587606050625,3520849.848,10044000000.0,50.7304347826087,1.445956349,94.85588074,11.19751263,22.76420079,26.0,1.078783035,5.52,0.760419667,97.0,97.0,96.0,91.5264,0.740791812,22.08755725,172500.0,8.883333333500001,80.69512195,82.01277160625,1.1,99.72332827,0.7,53428.0,17.39719009,97.27618408000001,3.208,0.521023035,9.000720000000001,95.48125,4.8,1.3,2.5,100.402866375,0.028545454545454547,41.33333333,3615.0,64973.0,1.343635798,0.0,1.328004122,9.994,81.94833333,91.961813,86.595984,100063.4878,5.545,1.278445244,,
Belize,BLZ,96.8,17.7954486125,971426.138,11959544276.25,48.969565217391306,-0.193349361,95.200000002,5.30974436,55.98640947,29.52,-0.603375793,2.9949999999999997,0.5803551975,79.0,79.0,82.0,57.0987,0.121434645,25.8279831,88000.0,8.734166667,72.854,84.380729675,1.0857142857142859,66.84898207,1.88,0.0,21.30035591,96.28840637,2.527,0.518612146,15.72533,95.525,42.3,6.0,4.7,105.1956711,0.057090909090909095,9.677419355,3225.1428571428573,29.0,-0.550579548,38.5,-0.825402975,10.4875,59.01708333,80.282876,66.856005,1573.319685,5.41625,0.523253381,,
