Country Name,Country Code,Access to electricity (% of population),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),"Air transport, passengers carried",Compensation of employees (current LCU),"Contraceptive prevalence, any method (% of married women ages 15-49)",Control of Corruption: Estimate,"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Forest area (% of land area),Gini index,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)",Human capital index (HCI) (scale 0-1),"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)","Physicians (per 1,000 people)",Political Stability and Absence of Violence/Terrorism: Estimate,Population living in slums (% of urban population),Pregnant women receiving prenatal care (%),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),Rail lines (total route-km),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Total greenhouse gas emissions (kt of CO2 equivalent),"Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Eritrea,ERI,51.4,21.524429886,45104.031,98420944647.5,35.54705882352941,-1.339879751,88.97706095333334,4.15886974,8.71821524,34.019999999999996,-1.643156528,1.0,0.7001943386666667,95.0,95.0,93.0,23.8002,2.1610820705,9.209577727333334,1031600.0,9.321666667799999,67.133,89.632263185,2.6333333333333333,50.64867425,1.8999999999999995,-14987.0,46.85018539,94.68242136666667,0.082,-0.992728472,13.6541,97.3625,20.766666666666666,5.433333333333334,4.0,95.9942035675,1.256,24.856435644999998,7301.6,201.0,-2.15805459,7.166666666666666,-1.492109537,14.525666666666668,59.246666665,72.734873,64.109886,6242.48957,6.306666666666667,-2.06482625,,
Estonia,EST,100.0,23.396845589999998,27875.5155,1704889295.0,36.26470588235294,1.580865502,88.00807953,7.57906532,57.03859649,30.7,1.299159646,4.46,0.777203202,91.0,90.0,91.0,89.0583,-0.444531098,3.159215431,1374400.0,8.6400000004,78.59512195,89.4561309825,2.311111111111111,144.8567221,0.6,2995.0,21.5740242,99.72026062,3.863,0.709752977,12.23115,97.40625,7.9,0.8,2.5,95.80139923,1.2845454545454547,28.71287129,7071.0,277.0,1.529534817,2.5,1.336464643,9.204,84.54625,90.368139,76.453576,10198.8019,6.956,1.167532682,,
Eswatini,SWZ,80.0,25.269261294,10647.0,8229668725.0,36.98235294117647,-0.296206951,88.133969118,6.59767151,28.92790698,29.98,-0.753389955,4.134,0.372500807,83.0,83.0,76.0,49.013,9.955907880999998,2.91264065725,1717200.0,7.958333333,59.692,89.27999878,1.988888888888889,105.8184652,0.76,-4897.0,11.11209965,99.727796936,0.14,-0.040577199,10.8082,97.45,67.0,18.3,11.9,79.947177885,1.313090909090909,9.589041096,6840.4,945.0,-0.492181957,2.0,-0.501701951,9.2362,49.88083333,57.596565,38.227813,3000.932259,7.1166,-1.332246304,,
Ethiopia,ETH,51.1,27.141676998,4940183.0,38809065224.0,37.7,-0.390404463,88.259858706,3.48096275,15.12398953,29.26,-0.589063823,3.808,0.382784843,71.0,71.0,60.0,16.0696,20.35634686,2.6660658835,2060000.0,7.367189739333333,65.371,88.47090773181819,1.6666666666666665,37.97222807,0.9199999999999999,38867.0,33.07913589,99.735333252,0.104,-1.753656149,64.31438,97.49374999999999,56.2,19.6,22.3,64.09295654,1.3416363636363637,38.75685558,6609.8,800454.0,-0.975501299,1.5,-0.405230105,9.2684,50.48375,71.568594,60.022031,167300.0199,7.277200000000001,-1.038964868,,
Faroe Islands,FRO,100.0,29.014092702,2674643.5,19868202985.55,35.01428571428572,0.11139196149999997,88.385748294,4.125072715,0.058565154,28.54,0.0003121200000000268,3.482,0.44567906849999994,85.0,85.0,78.0,49.54815,8.8805518005,2.41949110975,1840500.0,6.776046145666666,82.89756098,87.66181668363636,1.3444444444444446,112.9695698,1.0799999999999998,498.0,25.933627125,99.742869568,1.5110000000000001,-0.5458705129999999,36.85719,97.5375,37.75,11.9,14.100000000000001,82.83647917,1.3701818181818184,29.18234936,6379.200000000001,400234.0,-0.5388261675,1.0,-0.10467795299999999,9.300600000000001,53.549583335,90.884587,87.692382,84532.19376550001,7.4378,-0.4909459020000001,,
Fiji,FJI,97.1,30.886508405999997,409104.0,927340747.1,32.32857142857143,0.613188386,88.511637882,4.76918268,62.39846743,27.82,0.589688063,3.156,0.508573294,99.0,99.0,96.0,83.0267,-2.595243259,2.172916336,1621000.0,6.184902552,67.924,86.85272563545455,1.0222222222222221,107.7223274,1.2399999999999998,-6003.0,18.78811836,99.750405884,2.918,0.661915123,9.4,97.58125,19.3,4.2,5.9,101.5800018,1.3987272727272728,19.60784314,6148.6,14.0,-0.102151036,0.5,0.195874199,9.3328,56.61541667,70.519275,62.269542,1764.367631,7.598400000000001,0.057073064,,
Finland,FIN,100.0,32.75892411,3500299.0,6713414264.0,29.642857142857146,2.170630693,88.63752747,9.63,73.72836744,27.1,1.901411176,2.83,0.796001017,90.0,97.0,95.0,92.1703,0.290554556,1.645727943,1401500.0,10.5479220416,81.93170732,86.04363458727273,0.7,128.7646479,1.4,17482.0,16.47,99.7579422,4.325,0.981748819,15.298618000000001,97.625,8.8,2.4,2.5,99.18135071,1.4272727272727275,46.0,5918.0,23428.0,1.850898266,0.0,2.020997286,9.365,90.12083333,93.35934,85.942293,47740.49323,7.759,1.609450936,,
France,FRA,100.0,34.631339814,24956343.0,138538000000.0,26.957142857142856,1.122349262,91.9781189,12.13096142,31.50904837,30.7,1.204635501,6.0,0.762737215,96.0,95.0,94.0,84.7064,0.476498853,1.07320011,1182000.0,14.910941531199999,82.17560976,85.23454353909091,0.6923076923076923,112.8271405,1.3,18335.0,8.83838749,94.3735446925,3.324,0.280948132,21.197236000000004,97.66875,5.9,1.0,2.5,92.3037223825,1.455818181818182,39.51473137,27872.0,436055.0,1.189461946,0.0,1.29722631,12.701,87.21666667,92.513503,85.594679,376006.2454,8.01,1.065646052,,
French Polynesia,PYF,100.0,36.503755518,18735483.75,410869000000.0,24.271428571428572,0.11735326050000006,91.686831668,7.771982550000001,43.05963699,33.4,0.10565447800000016,4.37,0.610174835,79.5,79.0,73.5,78.49090000000001,0.91462998,1.0462498759999999,962500.0,19.2739610208,82.217,84.4254524909091,0.6846153846153846,110.9565448,2.425,-378.0,14.38342428,88.98914718500001,1.9589999999999999,0.10757309949999999,27.095854000000003,97.71249999999999,23.266666666666666,9.700000000000001,5.4,85.426094055,1.4843636363636366,27.15173188,14260.0,218261.0,0.1538281735,9.7,0.3080370725000001,15.75225,58.822708335,94.913108,89.770377,195427.75192500002,8.940999999999999,0.04277440899999996,,
Gabon,GAB,91.1,38.376171221999996,12514624.5,683200000000.0,21.585714285714285,-0.887642741,91.395544436,3.41300368,91.32068149,36.099999999999994,-0.993326545,2.74,0.457612455,63.0,63.0,53.0,72.2754,1.352761107,1.019299642,743000.0,23.6369805104,66.531,83.61636144272727,0.6769230769230768,133.0177927,3.55,1514.0,19.92846107,83.6047496775,0.594,-0.065801933,32.994472,97.75625,40.63333333333333,18.400000000000002,22.1,78.5484657275,1.512909090909091,14.78873239,648.0,467.0,-0.881805599,19.4,-0.681152165,18.8035,30.42875,70.985533,59.67742,14849.25845,9.872,-0.980097234,,
"Gambia, The",GMB,62.2,40.248586926,6293765.25,342573750000.0,18.9,-0.425882965,91.104257204,3.72824287,23.97924901,38.8,-0.787312388,1.11,0.421570629,85.0,85.0,82.0,44.8133,5.931276366,0.9923494079999999,523500.0,28.0,62.612,82.80727039454545,0.6692307692307692,104.038819,4.675,-1960.0,17.38969421,78.22035217,0.077,0.247992232,38.89309,97.8,58.0,27.1,18.7,71.6708374,1.5414545454545456,8.620689655,1029.5,4378.0,-0.759016037,74.7,-0.39465192,21.85475,47.45375,63.410689,56.510508,2453.329037,10.803,-0.199700385,19.5,26.6
Georgia,GEO,100.0,42.12100263,72906.0,1947500000.0,19.816666666666666,0.600856006,90.812969972,8.43,40.61591596,34.5,0.717011869,4.94,0.568925798,88.0,88.0,91.0,72.5316,5.20246489,0.965399174,304000.0,11.8008,72.765,81.99817934636364,0.6615384615384615,135.4280451,5.8,-2734.0,36.06,99.17141724,4.821,-0.429623365,7.07908,97.08333333333333,38.8,9.5,3.0,95.09580231,1.57,20.66666667,1411.0,1780.0,1.001167655,4.0,0.222179666,24.906,86.49625,87.405878,64.955126,17669.44862,11.734,0.055667788,20.458536585365852,27.634146341463417
Germany,DEU,100.0,40.08036043777778,25758450.0,35597057452.0,20.73333333333333,1.825713873,90.52168274,12.69255257,32.68267552,32.4,1.31406188,7.8,0.751162469,91.0,88.0,97.0,89.8129,0.144877926,0.93844894,296250.0,10.972866347166667,81.04146341,81.18908829818182,0.6538461538461539,128.8867207,0.3,334055.0,12.40803623,99.243862155,4.459,0.64498806,20.282964999999997,96.36666666666666,3.5,1.1,2.5,98.38349152,1.4910526315789474,31.17066291,33399.0,1210596.0,1.577934742,0.0,1.519799232,7.295,87.47625,92.042493,85.668162,692750.7552,3.881,1.373611093,21.417073170731708,28.668292682926833
Ghana,GHA,85.4,38.039718245555555,321437.0,28268934890.0,21.65,-0.127230331,91.19441114285715,4.01752424,35.09693099,32.8,-0.196662068,6.747142857142856,0.450056404,94.0,94.0,88.0,62.5176,9.887289563,1.724652192,288500.0,10.144932694333335,64.114,80.37999725,0.6461538461538461,125.7336966,1.4000000000000001,-297.0,28.18001938,99.31630707,0.164,0.169862181,33.48685,95.65,36.6,5.6,5.1,112.98485186,1.4121052631578948,13.09090909,23047.666666666664,12406.0,-0.13057971,24.3,-0.079614252,9.373333333333333,61.29625,67.473813,58.380826,39070.28751,7.886999999999999,0.553479671,22.37560975609756,29.702439024390245
Gibraltar,GIB,100.0,35.99907605333333,2984677.0,23378041060.0,22.566666666666666,-0.0475774685,91.86713954571428,6.760581255,0.0,33.2,0.10326644799999998,5.694285714285714,0.5700314495000001,96.5,95.0,92.5,70.3167,4.3196530035,1.2333224745,280750.0,9.3169990415,82.198,81.356185433125,0.6384615384615384,108.3465819,2.5,-58.0,30.809207915,99.388751985,3.2350000000000003,0.1425032245,34.172374999999995,94.93333333333334,21.700000000000003,3.55,3.8,127.5862122,1.333157894736842,17.37878788,12696.333333333332,57753.5,0.2029589715,12.3,0.1048996895,11.451666666666666,73.3725,92.453315,88.44956,54176.797099999996,11.892999999999999,0.7583727535,23.334146341463416,30.73658536585366
Greece,GRC,100.0,33.95843386111111,5647917.0,18487147230.0,23.48333333333333,0.032075394,92.53986794857143,9.50363827,30.26997673,33.6,0.403194964,4.6414285714285715,0.690006495,99.0,96.0,97.0,78.1158,-1.247983556,0.741992757,273000.0,8.489065388666667,81.28780488,82.33237361625001,0.6307692307692307,108.5687131,3.6,-17853.0,33.43839645,99.4611969,6.306,0.115144268,34.8579,94.21666666666667,6.8,1.5,2.5,99.75710297,1.2542105263157897,21.66666667,2345.0,103101.0,0.536497653,0.3,0.289413631,13.53,85.44875,92.875074,84.970477,69283.30669,15.899,0.963265836,24.29268292682927,31.770731707317076
Greenland,GRL,100.0,31.91779166888889,4242242.1135,21324283686.5,24.4,1.010008812,93.21259635142857,7.531319379999999,0.000535997,33.24545454545455,0.766806841,3.588571428571428,0.6275385025,85.5,84.0,90.0,75.6917,-0.9943580765000001,6.0315415685,265250.0,7.661131735833333,71.85073171,83.308561799375,0.6230769230769231,117.7274837,3.3181818181818183,-150.0,43.749471665,98.020103455,5.0495,1.910476446,35.543425,93.5,14.55,4.5,5.25,95.1515426675,1.175263157894737,34.16666667,2821.609090909091,77436.25,1.375887871,8.700000000000001,1.701575994,21.2205,81.1519791675,81.093235,70.349429,35840.2976065,14.6815,1.282142997,25.25121951219512,32.80487804878049
Grenada,GRD,93.4,29.877149476666666,2836567.227,24161420143.0,25.316666666666663,0.357017994,93.88532475428572,5.55900049,52.05882353,32.89090909090909,0.002325825,2.5357142857142856,0.56507051,72.0,72.0,83.0,73.2676,-0.740732597,11.32109038,257500.0,6.833198083,74.924,84.2847499825,0.6153846153846153,96.03519242,3.0363636363636366,0.0,54.06054688,96.57901001,3.793,1.03254509,36.22895,92.78333333333333,22.3,7.5,8.0,90.545982365,1.0963157894736844,46.66666667,3298.2181818181816,51771.5,-0.122246236,17.1,0.326836467,28.911,76.855208335,84.166544,73.809065,2397.288523,13.464,0.687310874,26.209756097560977,33.83902439024391
Guam,GUM,100.0,27.836507284444444,1430892.3405,26998556599.5,26.23333333333333,1.266005278,94.55805315714285,6.01296687,51.85185185,32.53636363636364,0.632899344,1.4828571428571422,0.513170302,77.5,77.5,85.5,60.38995,1.2368540125,15.140627469999998,249750.0,9.6795157065,76.612,85.260938165625,0.6076923076923076,106.73729376,2.754545454545455,-244.0,55.176067355,95.13791656500001,2.5365,0.888366282,36.914475,92.06666666666666,39.05,14.1,10.75,85.9404220625,1.0173684210526317,33.020833335,3774.8272727272724,26106.75,0.525310516,25.500000000000004,1.119430304,26.421125,72.5584375025,86.285186,73.262287,17781.4843365,13.10957142857143,1.089254618,27.16829268292683,34.87317073170732
Guatemala,GTM,96.6,25.795865092222222,25217.454,29835693056.0,27.15,-1.134002686,95.23078156,6.46693325,32.92086599,32.18181818181818,-0.712843359,0.43,0.461270094,83.0,83.0,88.0,47.5123,3.214440622,18.96016456,242000.0,12.52583333,71.797,86.23712634875,0.6,117.4393951,2.4727272727272727,-23142.0,56.29158783,93.69682312,1.28,-0.415842652,37.6,91.35,55.8,20.7,13.5,81.33486176,0.938421052631579,19.375,4251.436363636363,442.0,-0.270502895,33.9,-1.099682927,23.931250000000002,68.26166667,78.029041,64.99394,33165.68015,12.755142857142857,-0.377719432,28.12682926829268,35.90731707317073
Guinea,GIN,44.7,23.7552229,22808.302666666666,617412022619.4286,28.066666666666663,-0.974657476,98.62207031,3.876436,25.18720495,31.827272727272728,-0.969850123,1.0366666666666666,0.370942473,47.0,47.0,47.0,29.3934,10.60162034,19.204736153333332,183475.0,11.505648146,59.327,87.213314531875,0.5923076923076923,104.466802,2.1909090909090914,-4364.0,57.17256165,89.49176178,0.7355,-0.669287205,49.00714,90.63333333333334,73.3,48.9,12.4,60.7978096,0.8594736842105264,16.66666667,4728.045454545454,6029.0,-0.878001869,60.150000000000006,-1.302762151,21.441375,49.4475,58.844528,54.057416,29745.6922,12.400714285714287,-0.919305801,29.085365853658537,36.94146341463415
Guinea-Bissau,GNB,33.4,21.714580707777777,20399.151333333335,1204988352182.8572,28.98333333333333,-1.363135219,97.089150745,9.02139282,70.4128734,31.472727272727273,-1.465269923,1.6433333333333333,0.43308447299999997,74.0,74.0,72.0,28.1686,1.140009394,19.449307746666666,124950.0,10.485462962,59.999,88.189502715,0.5846153846153845,94.94153271,1.9090909090909092,-1394.0,56.43703079,85.28670044,0.191,-0.721676052,60.81037,89.91666666666667,75.0,29.2,36.8,69.53206176,0.7805263157894737,13.7254902,5204.654545454545,1846.0,-1.286226392,86.4,-1.399573922,18.951500000000003,31.90291667,59.436584,48.436285,2546.519289,12.046285714285714,-0.452649713,30.04390243902439,37.97560975609756
Guyana,GUY,92.3,19.673938515555555,17990.0,1792564681746.2856,29.9,-0.173361897,95.55623118,5.50584173,93.5501143,31.118181818181817,-0.44615379,2.25,0.495226473,99.0,99.0,98.0,73.1413,0.993337023,19.69387934,66425.0,9.465277778,68.486,89.165690898125,0.5769230769230769,107.375546,1.6272727272727274,802.0,24.18617821,81.0816391,1.405,-0.137580603,12.1402,89.2,78.75,37.2,3.0,78.26631392,0.7015789473684212,35.71428571,5681.263636363636,23.0,-0.536126554,67.95,-0.434385359,16.461625,51.84375,73.402354,58.517126,5282.035926,11.691857142857144,0.214108691,31.00243902439024,39.00975609756098
Haiti,HTI,46.3,17.633296323333333,23119.0,2380141011309.7144,36.03333333333333,-1.346412778,94.023311615,3.22171092,12.60159652,30.763636363636365,-2.113048077,5.03,0.446564913,51.0,51.0,65.0,36.39474796,22.79631136,11.32061972,7900.0,14.63416667,64.052,90.14187908125001,0.5692307692307692,64.73094691,1.3454545454545457,-33872.0,46.90286636,76.87657776,0.9470000000000001,-1.027478695,48.9,89.4,82.5,45.2,43.3,87.00056608,0.6226315789473685,28.404017855,6157.8727272727265,54.0,-1.256036758,49.5,-1.03267777,13.97175,39.92208333,69.727036,56.433368,10267.23377,11.337428571428571,-0.840826333,31.960975609756098,40.04390243902439
Honduras,HND,93.1,15.59265413111111,2950833.5,2967717340873.143,42.166666666666664,-0.988052368,92.49039205,9.03509808,56.83492716,30.40909090909091,-0.645444572,0.71,0.481023133,80.0,80.0,82.0,45.2483,3.46841178,35.79415957,247000.0,17.00916667,71.462,91.118067264375,0.5615384615384615,68.76918576,1.063636363636364,-6199.0,50.04225922,72.67151642,0.489,-0.448519617,48.92217,89.60000000000001,49.9,17.9,16.2,95.73481824000001,0.543684210526316,21.09375,6634.481818181818,85.0,-0.49494037,49.4,-1.010110259,11.481875000000002,60.54458333,79.862732,70.126491,21147.29453,10.983,-0.618731499,32.91951219512195,41.078048780487805
"Hong Kong SAR, China",HKG,100.0,13.552011938888889,5878548.0,3555293670436.5713,48.3,1.616944671,90.957472485,8.16254904,39.66560077,30.054545454545455,1.618590951,3.735,0.812756538,89.5,81.25,90.5,92.4131,0.250962021,0.293295889,303500.0,5.0,85.49634146,92.0942554475,0.5538461538461539,291.4989659,0.7818181818181822,0.0,38.09612961,85.806812285,1.814,0.05667685,48.94434,89.8,30.25,10.0,2.5,104.4690704,0.46473684210526334,16.577025755,7111.090909090909,245.0,1.784205079,25.0,1.550321102,8.992,73.154166665,95.651716,90.870594,40371.912095,5.808,0.02114265,33.8780487804878,42.11219512195122
Hungary,HUN,100.0,11.511369746666666,14597294.0,4142870000000.0,54.43333333333334,0.069760337,89.42455292,7.29,22.49627438,29.7,0.538772941,6.76,0.683087289,99.0,82.5,99.0,84.7712,3.326743858,0.820464645,360000.0,1.957689133,75.56829268,93.07044363062501,0.5461538461538461,105.9697831,0.5,9042.0,26.15,98.94210815,3.139,0.836977124,48.96651,90.0,10.6,2.1,2.5,93.28890228,0.3857894736842107,12.06030151,7587.7,5838.0,0.469366848,0.6,0.490737408,11.713,85.76375,86.706774,72.929707,59596.52966,4.25,0.389346242,34.83658536585366,43.146341463414636
Iceland,ISL,100.0,9.470727554444444,903927.0,229724000000.0,60.56666666666666,1.667649269,95.49031067,9.61,0.509273034,31.75,1.476330638,2.83,0.745281875,93.0,83.75,93.0,99.5328,2.847924015,1.363627686,416500.0,5.758712412,83.06341463,94.04663181375,0.5384615384615384,114.9221778,1.4666666666666668,2573.0,14.98,99.28326415999999,1.9329999999999998,1.374937654,48.988679999999995,90.2,6.3,1.3,2.5,98.39193726,0.306842105263158,38.0952381,37771.665,1460.0,1.443012118,0.1,1.751323938,6.655,83.27166667,93.758919,90.285959,2653.430657,5.478,1.381292939,35.795121951219514,44.180487804878055
India,IND,96.5,7.430085362222222,68959633.0,188773862000000.0,66.7,-0.29291603,94.62360382,3.34,24.27022827,33.8,0.375041097,1.62,0.493510902,85.0,85.0,89.0,43.4054,6.623436776,2.911155454,473000.0,9.15,70.15,95.022819996875,0.5307692307692308,82.621059,2.4333333333333336,-34772.0,49.45,99.62442017,0.727,-0.841136158,49.01085,90.4,5.699999999999999,0.65,15.9,98.10421753,0.22789473684210537,14.36464088,67955.63,195373.0,-0.128488675,49.6,-0.057718564,30.703,72.65541667,75.572251,68.195827,3200820.626,7.859,0.126321062,36.75365853658536,45.21463414634147
Indonesia,IDN,97.0,5.38944317,37523686.82,377318000000000.0,66.56666666666666,-0.454076618,93.75689697,3.42067289,49.07178037,35.3,0.317363322,1.4,0.540038466,77.0,77.0,76.0,53.7265,1.920968006,2.3501640330000004,42000.0,9.544166667,68.808,95.99900818,0.523076923076923,130.8110952,3.4,-24999.0,31.6984539,99.48053741833333,0.627,-0.462322682,19.41083,90.6,5.1,0.0,6.1,103.1429977,0.14894736842105272,20.34782609,38704.715000000004,10114.0,0.216156706,23.6,-0.362381369,21.8,74.92208333,74.639544,65.124344,976487.6772,4.255,0.099133357,37.71219512195122,46.24878048780488
"Iran, Islamic Rep.",IRN,100.0,7.554768076470588,12744853.78,251552930669000.0,66.43333333333334,-1.110736609,92.89019012,5.40149546,6.626730354,35.8,-1.017133236,1.2999999999999998,0.593404472,99.0,99.0,99.0,75.5699,30.59413904,1.7891726120000002,633000.0,8.29693804,74.832,96.379107667,0.5153846153846153,146.2076628,0.9,-156669.0,37.30069733,99.33665466666666,0.77,-1.699162006,34.374885,90.8,42.4,7.7,6.2,98.0490036,0.07,5.594405594,9453.8,800025.0,-1.485808253,33.3,-0.886475205,29.404,52.17208333,85.10215,76.221449,844649.4679,9.687,-1.476000071,38.670731707317074,47.28292682926829
Iraq,IRQ,100.0,9.720092982941177,764661.0,125787861338000.0,66.3,-1.334123492,92.87815094,6.17485046,1.900361184,32.5,-1.302935362,1.2,0.407643288,74.0,74.0,76.0,53.6778,0.574162679,1.2281811910000002,1224000.0,7.049709413,69.123,96.75920715400001,0.5076923076923077,88.05916556,0.65,71539.0,54.66120911,99.192771915,0.913,-2.474690437,49.33894,91.0,24.45,5.45,16.4,98.5127182,0.06222222222222223,26.443769,5670.9,270377.0,-1.33956039,16.65,-1.798078537,20.7535,41.84458333,76.174809,66.397606,261289.5283,7.654999999999999,-1.007279754,39.62926829268292,48.31707317073171
Ireland,IRL,100.0,11.885417889411766,54582262.0,22792007000.0,66.16666666666667,1.535135031,92.86611176,7.1091466,11.35172013,29.2,1.435749292,2.91,0.792599022,94.0,94.0,92.0,91.9999,-0.326183651,0.66718977,1109111.111111111,5.802480786,82.55609756,97.139306641,0.5,105.8205231,0.4,15320.0,10.93066502,99.04888916333333,3.484,0.965446055,8.5,91.2,6.5,3.2,2.5,98.9764328,0.05444444444444445,22.5,1888.0,9035.0,1.467447162,0.0,1.456939459,12.103,88.70458333,93.704018,90.195701,59497.73471,5.623,1.389508367,40.58780487804878,49.35121951219512
Isle of Man,IMN,100.0,14.050742795882353,27915811.5,70463003500.0,66.03333333333333,1.03603524,91.502235415,7.4095733,6.070175439,33.5,1.244111359,2.99,0.76329717,96.0,95.0,95.5,91.06360000000001,-0.47029800450000003,1.0472697345,994222.2222222222,4.555252159,80.588,97.519406128,0.5565217391304348,122.96458075,0.45,235.0,15.52533251,98.90500641166666,3.534,0.038817704000000064,9.870381666666667,91.4,10.35,2.6,2.5,98.72928238,0.046666666666666676,25.0,1753.5,5439.0,1.350934327,0.75,1.196541041,14.0835,83.75125,90.968673,86.509378,71580.90037,4.896,1.0205337405,41.546341463414635,50.38536585365854
Israel,ISR,100.0,16.21606770235294,1249361.0,118134000000.0,65.9,0.536935449,90.13835907,7.71,6.469500924,37.8,1.052473426,3.07,0.733995318,98.0,96.0,99.0,90.1273,-0.614412358,1.427349699,879333.3333333333,3.308023532,82.64878049,97.89950561500001,0.6130434782608696,140.1086384,0.5,16569.0,20.12,98.76112366,3.584,-0.887810647,11.240763333333334,91.6,14.2,2.0,2.5,98.48213196,0.03888888888888889,27.5,1619.0,1843.0,1.234421492,1.5,0.936142623,16.064,78.79791667,93.750247,88.262651,83664.06603,4.169,0.651559114,42.50487804878048,51.41951219512195
Italy,ITA,100.0,18.381392608823532,7801490.0,99917021156.0,65.76666666666667,0.50986433,94.72836304,9.63,32.34893496,35.2,0.360985458,3.18,0.727819681,94.0,94.0,92.0,70.4834,-0.137707574,0.47898694,764444.4444444445,2.328333333,82.19512195,98.279605102,0.6695652173913044,130.3870472,2.4,28021.0,21.46,99.16287994,3.997,0.39929536,12.611145,91.8,6.3,1.9,2.5,98.71849823,0.031111111111111117,35.71428571,17255.6,128033.0,0.487740815,0.2,0.207708836,19.019,89.62333333,93.846237,89.020832,352128.8891,9.164,1.054666638,43.46341463414634,52.453658536585365
Jamaica,JAM,99.7,20.54671751529412,29466306.0,222996000000.0,65.63333333333333,-0.046545755,90.08955002,6.62580395,55.11449677,33.575,0.528976262,1.71,0.534977913,96.0,95.0,93.0,76.384,5.226777793,47.26220472,649555.5555555555,12.06137876,71.869,98.659704589,0.7260869565217392,101.8728665,2.1125,0.0,14.74550629,98.58997344666666,3.3055,0.258638471,13.981526666666667,92.0,50.3,23.1,7.5,79.77024078,0.023333333333333338,28.57142857,16957.449999999997,27.0,0.042481516,6.7,-0.239620462,29.665,56.44166667,79.625591,70.365338,7432.636336,6.501,0.625461519,44.421951219512195,53.487804878048784
Japan,JPN,100.0,22.712042421764707,51131122.0,5661800000000.0,65.5,1.463934183,85.450737,11.0,68.40877915,31.950000000000003,1.547667146,12.72,0.804714262,96.0,92.0,98.0,90.2195,-0.024995834,0.253902837,534666.6666666666,9.7711060465,84.56,99.039804076,0.7826086956521738,155.7389638,1.825,87584.0,11.94,98.01706695333334,2.614,1.026066899,15.351908333333334,92.2,3.8,0.9,2.7,86.80615998666666,0.015555555555555559,9.892473118,16659.3,1132.0,1.347087026,0.1,1.473686934,32.525,88.42666667,94.567248,89.722458,1094556.256,2.809,0.983319521,45.380487804878044,54.5219512195122
Jordan,JOR,99.9,24.877367328235295,816253.0,4146200000.0,65.36666666666666,0.038551886,84.78474426333334,7.03820276,1.098047165,30.325,0.095135003,1.37,0.553174376,77.0,77.0,76.0,78.4178,0.333294351,0.988221769,419777.77777777775,7.480833333,75.184,99.419903563,0.8391304347826087,63.94061117,1.5375,18092.0,37.53126144,97.44416046,3.3209999999999997,-0.267881632,16.72229,92.39999999999999,3.3,0.45,2.6,93.84207919333333,0.007777777777777779,11.53846154,16361.15,3009472.0,0.252726197,0.4,0.18873316,35.385,72.31416667,87.223253,79.485314,33146.35261,19.213,-0.747199893,46.3390243902439,55.556097560975616
Kazakhstan,KAZ,100.0,27.042692234705882,5282205.0,755538000000.0,65.23333333333333,-0.377906501,84.11875152666667,3.75,1.279653295,28.7,0.106133707,6.72,0.628506422,88.0,88.0,93.0,85.9426,6.718154549,3.192961911,304888.8888888889,9.7383089765,71.37,99.80000305,0.8956521739130434,128.0024709,1.25,-12432.0,27.74,97.903884886,4.028,-0.257630289,0.79376,92.6,2.8,0.0,2.5,100.8779984,0.0,27.10280374,16063.0,440.0,0.106146552,0.7,-0.466539711,41.47966666666667,81.01166667,80.36432,59.54838,294805.9457,4.89,-1.181037664,47.297560975609755,56.59024390243903
