Country Name,Country Code,"Immunization, DPT (% of children ages 12-23 months)_2018","Immunization, DPT (% of children ages 12-23 months)_2019","Immunization, DPT (% of children ages 12-23 months)_2020","Immunization, DPT (% of children ages 12-23 months)_2021","Immunization, DPT (% of children ages 12-23 months)_2022",Current health expenditure (% of GDP)_2018,Current health expenditure (% of GDP)_2019,Current health expenditure (% of GDP)_2020,Current health expenditure (% of GDP)_2021,Current health expenditure (% of GDP)_2022,Out-of-pocket expenditure (% of current health expenditure)_2018,Out-of-pocket expenditure (% of current health expenditure)_2019,Out-of-pocket expenditure (% of current health expenditure)_2020,Out-of-pocket expenditure (% of current health expenditure)_2021,Out-of-pocket expenditure (% of current health expenditure)_2022,"Immunization, measles (% of children ages 12-23 months)_2018","Immunization, measles (% of children ages 12-23 months)_2019","Immunization, measles (% of children ages 12-23 months)_2020","Immunization, measles (% of children ages 12-23 months)_2021","Immunization, measles (% of children ages 12-23 months)_2022","Life expectancy at birth, total (years)_2018","Life expectancy at birth, total (years)_2019","Life expectancy at birth, total (years)_2020","Life expectancy at birth, total (years)_2021","Life expectancy at birth, total (years)_2022","Survival to age 65, male (% of cohort)_2018","Survival to age 65, male (% of cohort)_2019","Survival to age 65, male (% of cohort)_2020","Survival to age 65, male (% of cohort)_2021","Survival to age 65, male (% of cohort)_2022","Survival to age 65, female (% of cohort)_2018","Survival to age 65, female (% of cohort)_2019","Survival to age 65, female (% of cohort)_2020","Survival to age 65, female (% of cohort)_2021","Survival to age 65, female (% of cohort)_2022"
South Sudan,SSD,59.0,61.0,67.0,69.0,73.0,10.05615997,9.03740788,9.44806385,5.86061621,9.41,25.75857735,42.32470322,39.66345978,27.40943527,45.95,61.0,65.0,69.0,74.0,72.0,55.95,55.912,55.48,54.975,55.567,47.406233,47.384276,45.890264,44.759654,45.64502,53.483942,53.388182,52.625195,51.477459,52.328355
Spain,ESP,96.0,95.0,94.0,92.0,93.0,8.99686718,9.1456852,10.74565983,10.74003887,9.55,22.24442673,21.83183861,19.72846413,20.99674988,45.95,98.0,98.0,96.0,95.0,96.0,83.43170732,83.83170732,82.33170732,83.22926829,83.08292683,87.996089,88.415084,87.547557,87.819924,88.88725,93.974388,94.085324,93.643215,93.794146,94.564687
Sri Lanka,LKA,99.0,99.0,96.0,96.0,98.0,3.64,3.9,4.02,4.07,9.69,46.82,45.51,43.76,43.64,45.95,99.0,99.0,96.0,97.0,99.0,75.748,76.008,76.393,76.399,76.61,75.58353,76.071946,76.788789,78.278397,77.108228,88.557164,88.830712,89.236205,88.918591,89.380769
St. Kitts and Nevis,KNA,98.0,97.0,99.0,96.0,96.0,4.89200258,5.18704271,5.65951824,6.1634655,9.83,49.38157272,46.36796951,42.20227051,38.84815598,45.95,96.0,97.0,95.0,96.0,95.0,71.467,71.572,71.627,71.682,72.027,65.97598,66.127238,66.156956,66.165127,66.911811,81.993543,82.115978,82.183409,82.262958,82.803131
St. Lucia,LCA,95.0,92.0,86.0,80.0,81.0,4.18686533,4.19073772,6.79121685,6.2111187,9.97,46.11191177,42.85055542,35.66007996,37.22053146,45.95,86.0,96.0,89.0,77.0,81.0,73.357,73.445,73.416,71.111,71.294,71.646837,71.730902,71.602811,67.13834,67.482904,85.450837,85.52541,85.515323,82.044698,82.396729
St. Martin (French part),MAF,96.0,94.5,91.5,86.0,86.5,4.22016382,4.223086115,5.815400125,5.7868199350000005,10.11,38.361224175,35.470228195,31.27989769,31.70691967,45.95,92.5,97.5,94.0,86.5,88.5,80.614,79.983,80.149,80.379,80.55,86.350766,85.858025,86.076724,86.420135,86.700414,93.772347,92.929821,93.068768,93.238753,93.264155
St. Vincent and the Grenadines,VCT,97.0,97.0,97.0,92.0,92.0,4.25346231,4.25543451,4.8395834,5.36252117,10.25,30.61053658,28.08990097,26.89971542,26.19330788,45.95,99.0,99.0,99.0,96.0,96.0,74.128,72.835,72.126,69.629,68.972,72.026317,69.605111,68.335985,63.170094,61.648655,81.647309,79.74846,78.864938,74.393414,73.154657
Sudan,SDN,93.0,93.0,90.0,84.0,84.0,4.46358299,4.57422638,3.01518917,2.83633852,10.39,66.95339966,67.37359619,52.96360779,56.85788345,45.95,88.0,90.0,86.0,81.0,81.0,65.681,65.876,65.614,65.267,65.578,62.310761,62.641483,61.760516,60.906593,61.400028,71.839712,72.035443,71.687868,70.949612,71.435972
Suriname,SUR,81.0,77.0,51.0,72.0,77.0,6.68795872,8.70230103,6.84054422,5.6838975,10.53,18.42653656,17.35204697,21.10627174,24.83084297,45.95,77.0,64.0,45.0,58.0,74.0,72.553,72.242,72.561,70.274,70.289,67.010529,66.266162,66.890552,63.27246,63.179043,79.221108,78.828563,79.240303,76.400107,76.314639
Sweden,SWE,97.0,98.0,97.0,98.0,94.0,10.94,10.83,11.33,11.25,10.67,13.96,13.71,12.83,13.08,45.95,97.0,97.0,97.0,97.0,92.0,82.55853659,83.1097561,82.35609756,83.05609756,83.1097561,89.9381,90.56354,90.047059,90.137552,91.077619,93.446706,93.636601,93.802506,93.958866,94.066636
