Country Name,Country Code,Access to electricity (% of population),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),"Air transport, passengers carried",Compensation of employees (current LCU),"Contraceptive prevalence, any method (% of married women ages 15-49)",Control of Corruption: Estimate,Cost of business start-up procedures (% of GNI per capita),"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Forest area (% of land area),Gini index,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)","Physicians (per 1,000 people)",Political Stability and Absence of Violence/Terrorism: Estimate,Pregnant women receiving prenatal care (%),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Profit tax (% of commercial profits),Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),"Pupil-teacher ratio, primary",Rail lines (total route-km),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Suicide mortality rate (per 100,000 population)","Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Total greenhouse gas emissions (kt of CO2 equivalent),Total tax and contribution rate (% of profit),"Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Djibouti,DJI,64.7,19.359619654,2779957.6,155837000000.0,64.6,-0.880212486,39.7,94.2454471625,2.16640544,0.245901639,32.43333333333333,-0.817990303,2.81,85.0,85.0,83.0,59.342,3.319253727,9.6694429625,131657.14285714284,6.255317839,63.085,89.45270855999999,0.9400000000000001,38.53522459,37.6,1.4,1322.0,31.23415756,88.24742126,3.3203333333333336,-0.343412548,98.31428571428572,21.666666666666668,8.466666666666667,19.0,51.3841095,17.7,0.133,26.15384615,,8932.933333333332,19639.0,-0.821162224,2.533333333333333,-0.946248353,13.390333333333334,36.60625,9.6,66.695105,57.106683,1388.224359,37.9,5.4639999999999995,-1.423148274,,
Dominica,DMA,99.9,17.724293302,1446854.7999999998,217846000000.0,63.699999999999996,0.521641076,15.2,95.26351547499999,5.16903925,63.82666667,37.166666666666664,-0.253151447,3.02,99.0,99.0,92.0,73.3819,1.504623539,18.2001456,99542.85714285714,7.539960667,73.559,89.38975015999999,0.9600000000000001,109.3856751,21.700000000000003,1.9,326.0,33.85964203,86.71497726,2.376666666666667,1.029823542,98.15714285714286,38.333333333333336,15.833333333333332,6.8,82.91000366,21.8,0.1995,25.0,,8701.4,9901.5,0.151736706,5.066666666666666,0.717998266,19.058666666666667,50.385416665,7.25,84.183462,72.869384,241.979596,32.6,5.91,0.867350519,,
Dominican Republic,DOM,99.0,16.08896695,113752.0,279855000000.0,62.8,-0.838781178,13.7,96.2815837875,4.23948717,44.93930277,41.9,-0.351272494,1.25,89.0,87.0,96.0,79.7155,1.81060377,9.4285157,67428.57142857142,12.48676667,73.577,89.32679175999999,0.9800000000000001,82.22940664,5.8,2.4,-29830.0,27.94108391,85.18253326,1.433,-0.003159933,98.0,55.0,23.2,6.3,93.96617126,29.1,0.266,26.84210526,,8469.866666666667,164.0,-0.018773297,7.6,-0.321246088,24.727,64.16458333,4.9,82.496021,71.756008,39753.30481,48.8,6.356,0.179443821,,
Ecuador,ECU,99.1,29.88816126,4827978.0,9413772555.0,77.9,-0.509074688,33.0,97.2996521,7.77070522,50.58020615,45.7,-0.367639989,1.39,85.0,85.0,83.0,59.2,0.266012515,6.843967713,35314.28571428571,14.301716670000001,77.297,89.26383335999999,1.0,91.40531396,4.7,4.2,71801.0,30.93616295,96.50515747,1.071,-0.238249406,94.95,32.7,11.6,13.4,99.74536896,18.2,0.3325,37.95620438,,8238.333333333334,104560.0,-0.796693981,23.2,-0.542889178,17.516,72.95,7.6,86.856651,79.42787,74113.4694,34.4,3.812,0.032007832,,
"Egypt, Arab Rep.",EGY,100.0,30.53584136,13206889.61,5920986277.5,72.68571428571428,-0.65516609,20.3,95.69498062,4.5994668,0.045185594,31.9,-0.251194149,1.22,95.0,95.0,95.0,57.2829,9.152799593,22.5136808465,3200.0,16.11666667,71.358,89.20087496,1.02,90.26837878,4.8,2.3,-59715.0,62.50646591,99.641922,0.709,-1.124602079,91.9,27.8,6.7,6.3,92.85021973,14.4,0.399,14.93288591,,8006.8,258391.0,-0.758563221,27.7,-0.333438784,27.96,74.07083333,3.0,80.851233,69.386024,307452.9495,44.4,7.851,-1.443903089,,
El Salvador,SLV,97.4,31.18352146,2609917.0,2428200000.0,67.47142857142858,-0.537628949,43.3,94.09030914,8.80846119,28.39671815,38.8,-0.531054139,1.06,90.0,90.0,85.0,50.4912,0.075324135,38.18339398,223333.33333333334,14.918333336,72.559,89.13791656,1.04,165.5481968,6.1,4.4,-55143.0,37.6710701,82.1730423,0.4963333333333333,-0.120268002,88.85,45.1,15.1,7.2,81.71881358,16.6,0.4655,30.95238095,,7775.266666666666,48.0,-0.037950449,14.6,-0.865680158,27.94,68.80333333,6.1,82.595745,64.811925,12495.49105,36.4,4.17,0.118330993,,
Equatorial Guinea,GNQ,66.6,31.544283123076923,425475.0,189437000000.0,62.25714285714286,-1.563375354,59.1,92.09442901333334,3.16833544,87.58573975,36.13333333333333,-1.04120028,1.0350000000000001,53.0,53.0,53.0,49.1337,1.53027529,26.108679274666663,443466.6666666667,13.720000002,61.644,89.11366711653845,1.06,39.72876266,29.7,3.2,14695.0,76.3782196,88.03980509666667,0.2836666666666666,-0.147936091,85.8,32.7,10.333333333333332,5.633333333333334,70.58740743,53.0,0.532,21.0,,7543.733333333334,123.5,-1.69174087,10.733333333333333,-1.286557078,21.246666666666666,74.56013888666666,7.9,62.932104,55.294392,10292.5386,79.4,4.284666666666666,-1.878968835,,
Eritrea,ERI,50.3,31.905044786153848,101357.3759,95520772782.0,57.042857142857144,-1.4070611,21.3,90.09854888666666,4.58734369,8.741453809,33.46666666666667,-1.802542329,1.01,95.0,95.0,93.0,11.2,1.903767301,14.033964569333332,663600.0,12.521666668,67.3,89.08941767307692,1.08,37.46979694,66.5,2.0,-29849.0,44.77917099,93.90656789333333,0.071,-0.705968618,82.75,20.3,5.566666666666666,4.066666666666666,59.45600128,9.2,0.5985,22.0,,7312.2,199.0,-2.192136765,6.866666666666666,-1.631714582,14.553333333333333,80.31694444333334,10.9,72.739505,64.999723,6179.328169,83.7,4.399333333333334,-2.205223322,,
Estonia,EST,100.0,32.26580644923077,857.0,1604545564.0,51.82857142857143,1.52543819,1.0,88.10266876,6.81699181,57.03859649,30.8,1.139793992,4.53,91.0,91.0,88.0,90.2289,2.277259312,1.959249864,883733.3333333334,11.323333334,78.64634146,89.06516822961538,1.1,147.0228833,2.6,0.8,5410.0,24.06137466,99.77333069,3.469,0.630106986,79.69999999999999,7.9,0.8,2.5,97.27607727,7.7,0.665,29.7029703,,7080.666666666666,331.0,1.580124617,3.0,1.243151188,7.86,86.07375,14.9,91.078648,76.97069,13174.99211,47.8,4.514,1.179321051,,
Eswatini,SWZ,77.0,32.626568112307694,52744.0,7943023536.0,46.614285714285714,-0.328445315,10.7,88.391171262,7.15369368,28.85755814,30.775,-0.638883948,4.2940000000000005,90.0,90.0,81.0,43.9,2.598016203,1.8607964848,1103866.6666666667,10.125,60.549,89.04091878615384,1.12,91.85072327,46.5,1.0,-9796.0,9.97639179,93.425491335,3.6344,-0.274407119,76.64999999999999,32.1,8.6,12.1,98.03701019,25.2,0.7315,7.246376812,,6849.133333333333,940.0,-0.531037092,2.4,-0.479818255,7.7652,47.18708333,29.4,59.004232,41.130476,3052.193508,35.8,4.950200000000001,-1.343926668,,
