Country Name,Country Code,Access to electricity (% of population),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Compensation of employees (current LCU),Control of Corruption: Estimate,"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Gini index,Government Effectiveness: Estimate,"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Logistics performance index: Overall (1=low to 5=high),Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)",Political Stability and Absence of Violence/Terrorism: Estimate,"Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)","Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Suriname,SUR,99.0,39.88029411764706,283965714285.71436,-0.405177504,97.28218980272727,10.53,39.2,-0.943955839,77.0,77.0,74.0,75.7614,52.44602728,4381000.0,14.74849285,70.289,86.78018396272728,3.2,61.9,150.2880072,2.1,-1000.0,45.95,88.43746537192308,0.396292031,100.555896,29.41176471,25.0,-0.789872885,37.25,-0.127625868,25.7435,61.5175,76.314639,63.179043,7.461,0.367263019,54.141666666666666,58.794444444444444
Sweden,SWE,100.0,40.53588235294118,171925000000.0,2.061658144,97.33666298636363,10.67,35.0,1.572977066,94.0,94.0,92.0,95.0097,8.369290989,5209000.0,8.697608293,83.1097561,85.82814649818182,4.0,61.9,125.0711442,2.0700000000000003,39998.0,45.95,88.68452688128204,0.902623057,99.89032745,46.41833811,277726.0,1.681576967,0.0,1.690068483,4.958,92.22791667,94.066636,91.077619,7.392,1.521039724,53.233333333333334,57.955555555555556
Switzerland,CHE,100.0,41.1914705882353,8626032327.0,2.009313822,97.39113617,10.707474954444445,30.800000000000004,2.049948931,96.0,76.0,96.0,96.8046,2.835027986,6037000.0,2.646723736,83.45365854,84.87610903363637,4.1,61.9,119.5610489,2.04,39998.0,45.95,88.93158839064102,1.161139727,95.06360626,41.5,182474.0,1.620113015,0.0,1.751806736,9.314,88.79666667,94.588086,91.311092,4.122,1.615559578,52.325,57.11666666666667
Syrian Arab Republic,SYR,89.0,41.847058823529416,5885474710.0,-1.775999069,97.44560935363636,10.74494990888889,26.6,-1.752044916,46.0,46.0,41.0,66.4459,3.3401093383333333,6865000.0,2.7696261352500002,72.3,83.92407156909091,2.3,61.9,110.34064867333333,2.0100000000000002,734304.0,45.95,89.1786499,-2.79725194,58.26871872,11.2,593844.0,-1.823899746,40.75,-2.069442272,10.32225,31.92041667,84.601201,70.370389,3.3265,-1.893770814,51.41666666666667,56.27777777777778
Tajikistan,TJK,100.0,42.502647058823534,3144917093.0,-1.434153557,97.50008253727272,10.782424863333333,27.46470588235294,-0.756126046,97.0,97.0,98.0,36.0872,3.8451906906666666,4590333.333333334,2.8925285345000002,71.288,82.97203410454546,2.5,61.9,101.12024844666666,1.98,-19999.0,45.95,89.1786499,-0.694840014,72.734357835,26.98412698,8608.0,-1.197977424,81.5,-1.255800605,11.3305,53.42708333,80.325862,71.003837,2.5309999999999997,-1.672766209,50.50833333333333,55.43888888888889
Tanzania,TZA,45.8,43.158235294117645,4707140000000.0,-0.341099858,97.5545557209091,10.819899817777777,28.329411764705885,-0.426734716,88.0,88.0,86.0,31.8913,4.350272043,2315666.666666667,3.01543093375,66.782,82.01999664,3.0,61.9,91.89984822,1.9500000000000002,-39997.0,45.95,89.1786499,-0.265859962,87.19999695,36.8556701,206229.0,-0.563533366,44.9,-0.443158507,12.33875,67.33416667,69.87761,61.858196,1.7355,-0.65902853,49.6,54.6
Thailand,THA,99.9,43.81382352941176,818231000000.0,-0.452194035,97.60902890454545,10.857374772222222,29.194117647058825,0.128285065,97.0,97.0,96.0,87.9772,6.077412284,41000.0,3.138333333,79.68,81.88999661272727,3.5,61.9,176.3169269,1.92,18999.0,45.95,89.1786499,-0.383099318,97.39299774,15.74642127,94472.0,0.165019408,8.3,0.067307785,13.347,82.51416667,89.087685,76.239345,0.94,-0.622607708,50.82352941176471,54.6
Timor-Leste,TLS,99.7,44.46941176470588,247619009.6,-0.265985161,97.66350208818181,10.894849726666667,30.058823529411764,-0.767780125,86.0,86.0,79.0,40.7521,7.02249295,21650.0,11.00449208,69.056,81.75999658545454,3.0,61.9,110.4161199,1.8900000000000001,-5000.0,45.95,89.1786499,0.273400307,93.266895295,40.0,51886.0,-0.472811252,40.650000000000006,-0.88339597,29.122,59.86041667,75.841025,68.725182,1.537,0.487551421,52.04705882352941,54.6
Togo,TGO,57.2,45.125,252288000000.0,-0.649671555,97.71797527181818,10.93232468111111,30.923529411764704,-0.642588735,82.0,82.0,71.0,37.6212,7.967573616,2300.0,9.431849355,61.588,81.62999655818182,2.5,61.9,74.18189659,1.86,-2000.0,45.95,89.1786499,-0.711050153,89.14079285,18.68131868,9300.0,-0.562867999,73.0,-0.558834016,13.251,66.68166667,61.814602,57.788374,1.965,-0.762097478,53.27058823529412,54.6
Tonga,TON,100.0,45.78058823529412,401263750000.0,-0.420627415,97.77244845545454,10.969799635555555,31.788235294117648,-0.166477576,99.0,99.0,99.0,58.80275,10.97136529,276475.0,7.85920663,71.27,81.49999653090909,2.5,61.9,102.374147195,1.83,-800.0,45.95,89.1786499,1.114246726,104.1760025,3.703703704,6362.0,-0.347820729,51.43333333333334,0.594402671,15.066500000000001,59.89375,78.091906,66.889735,3.1740000000000004,0.83951956,54.49411764705883,54.6
